# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_minecraftcity_v4
# Exported by: amber
setting:	replacespawns 0
weapon_ttt_smokegrenade	-907.380615 -815.463013 208.164612	-1.394 -1.486 -1.419
weapon_ttt_smokegrenade	-839.012451 -877.984253 208.170242	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-738.259277 -703.106018 208.182983	-1.002 -1.542 -1.019
weapon_ttt_smokegrenade	-826.398315 -657.011108 208.156281	-1.572 -1.414 -1.600
weapon_ttt_smokegrenade	-594.741333 -841.129028 208.155167	-1.595 -1.415 -1.625
weapon_ttt_smokegrenade	-615.735046 -866.018127 208.140396	-1.911 -1.293 -1.947
weapon_ttt_smokegrenade	-11.528140 -1346.783081 480.178741	-0.514 -1.743 -0.781
weapon_ttt_smokegrenade	-74.127792 -1266.115601 480.136505	-0.933 -1.615 -1.425
weapon_ttt_smokegrenade	-247.145004 -1311.707764 480.150757	-0.792 -1.677 -1.208
weapon_ttt_smokegrenade	-85.647255 -1375.428955 480.117981	-1.128 -1.329 -1.701
weapon_ttt_smokegrenade	-260.901459 -1434.256348 480.183838	-0.464 -1.747 -0.703
weapon_ttt_smokegrenade	-272.690002 -1268.691162 480.197632	-0.731 -4.737 -0.474
weapon_ttt_smokegrenade	-265.240540 -1270.277466 482.053009	22.890 42.582 89.794
weapon_ttt_smokegrenade	-306.000366 -1337.528076 480.149567	-0.804 -1.679 -1.226
weapon_ttt_smokegrenade	-224.276505 27.161594 48.152668	-1.669 -1.429 -1.786
weapon_ttt_smokegrenade	-176.126617 13.176707 48.173729	-1.200 -1.521 -1.220
weapon_ttt_smokegrenade	-200.032730 57.022430 48.149338	-1.720 -1.377 -1.752
weapon_ttt_smokegrenade	-147.427200 78.498665 48.178570	-1.097 -1.532 -1.115
weapon_ttt_smokegrenade	-611.821716 -1351.708496 304.162628	-1.436 -1.479 -1.462
weapon_ttt_smokegrenade	-533.792786 -1254.613403 304.145630	-1.799 -1.352 -1.833
weapon_ttt_smokegrenade	-104.278801 -364.112762 48.136257	-2.005 -1.231 -2.034
weapon_ttt_smokegrenade	-168.909317 -321.155487 48.170254	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-688.971436 194.826462 48.155170	-1.596 -1.415 -1.625
weapon_ttt_smokegrenade	-810.793823 205.201523 48.140400	-1.911 -1.293 -1.947
weapon_ttt_smokegrenade	-750.983948 159.106964 48.177006	-1.130 -1.532 -1.149
weapon_ttt_smokegrenade	-462.777313 294.332397 160.143051	-1.854 -1.283 -1.889
weapon_ttt_smokegrenade	992.044861 -450.284088 32.167500	-1.333 -1.499 -1.356
weapon_ttt_smokegrenade	1221.853882 -314.243347 32.155170	-1.596 -1.414 -1.625
weapon_ttt_smokegrenade	581.408020 -1409.445679 160.132217	-0.976 -1.572 -1.491
weapon_ttt_smokegrenade	706.693420 -1479.012939 32.122940	-1.147 -1.263 -0.668
ttt_random_weapon	-711.499451 -662.150085 211.880905	7.417 -5.045 -60.245	auto_ammo 2
ttt_random_weapon	-949.657471 -849.562561 213.134262	9.100 -13.280 -98.537	auto_ammo 2
ttt_random_weapon	258.948792 499.256378 37.133320	9.110 -11.236 -98.452	auto_ammo 2
ttt_random_weapon	894.006897 638.486206 37.130417	9.103 -11.175 -98.060	auto_ammo 2
ttt_random_weapon	570.760681 53.396427 37.127502	9.097 -11.119 -97.694	auto_ammo 2
ttt_random_weapon	-47.786213 968.131958 37.129360	9.101 -11.155 -97.924	auto_ammo 2
ttt_random_weapon	-871.491516 812.251160 37.132580	9.076 -10.663 -98.222	auto_ammo 2
ttt_random_weapon	-1002.259216 728.521729 37.133892	9.111 -11.248 -98.531	auto_ammo 2
ttt_random_weapon	-1052.591797 284.148560 37.114162	9.118 -11.261 -98.313	auto_ammo 2
ttt_random_weapon	-616.045959 -179.023865 179.882141	7.355 -5.044 -60.239	auto_ammo 2
ttt_random_weapon	-630.877930 -481.992950 179.880508	7.437 -5.045 -60.247	auto_ammo 2
weapon_zm_molotov	-55.733715 -368.857635 304.150543	-1.694 -1.375 -1.726
weapon_zm_molotov	-114.368286 -367.709106 304.146881	-1.773 -1.379 -1.806
weapon_zm_molotov	-189.215805 -368.765320 304.143066	-1.854 -1.283 -1.889
weapon_zm_molotov	-247.125259 -366.955017 304.159546	-1.503 -1.457 -1.530
weapon_zm_molotov	-684.378479 -197.656723 48.137669	-1.969 -1.212 -2.007
weapon_zm_molotov	-667.632263 -172.942200 48.201363	-1.451 -1.103 -0.327
weapon_zm_molotov	-662.967529 -207.054550 48.193005	-0.789 -1.560 -0.801
weapon_zm_molotov	-692.306335 -210.748383 48.141727	-1.886 -1.286 -1.916
weapon_zm_molotov	-679.122131 -205.959061 48.149338	-1.720 -1.377 -1.752
weapon_zm_molotov	-681.814087 -167.537323 79.728172	1.964 1.447 0.420
weapon_zm_molotov	-678.539917 -181.290436 81.264923	-49.290 -59.360 -86.578
weapon_zm_molotov	465.257935 -1257.574707 272.149353	-1.720 -1.377 -1.752
weapon_zm_molotov	436.905701 -1276.239990 272.171143	-1.255 -1.505 -1.277
weapon_zm_molotov	462.909790 -1287.310425 305.097778	18.425 -36.969 -89.686
weapon_zm_molotov	435.863861 -1296.736206 272.140411	-1.911 -1.293 -1.947
weapon_zm_molotov	450.368439 -1297.298218 303.672485	-0.407 1.257 1.170
weapon_zm_molotov	449.390717 -1270.566040 272.146881	-1.772 -1.379 -1.805
weapon_zm_molotov	-183.252167 35.803593 48.188301	-0.889 -1.554 -0.903
weapon_zm_molotov	-78.130493 -1316.867920 481.642700	-48.932 1.123 -85.940
weapon_zm_molotov	-307.933777 -1448.732544 480.112823	-1.177 -1.480 -1.782
weapon_zm_molotov	-274.681671 -1329.855347 480.116333	-1.134 -1.378 -1.734
weapon_zm_molotov	61.330681 -1257.728638 304.127716	-1.021 -1.553 -1.560
weapon_zm_molotov	183.279587 -1407.568115 304.159119	-1.638 -0.416 -1.431
weapon_zm_molotov	552.036194 -1458.567261 160.148361	-0.816 -1.671 -1.245
item_ammo_357_ttt	112.472061 582.685059 320.373016	0.459 0.059 0.038
item_ammo_357_ttt	134.272171 590.029358 320.346405	0.454 0.064 0.049
item_ammo_357_ttt	136.657516 565.520996 320.344513	0.453 0.064 0.050
item_ammo_357_ttt	-454.587463 493.023438 160.342529	0.452 0.062 0.051
item_ammo_357_ttt	-430.192017 492.625061 160.389099	0.462 0.055 0.032
item_ammo_357_ttt	224.951538 -1248.496582 480.377289	0.460 0.058 0.037
item_ammo_357_ttt	207.699829 -1246.974731 480.348206	0.454 0.064 0.048
item_ammo_357_ttt	190.789078 -1248.362671 480.332520	0.451 0.066 0.054
ttt_random_ammo	50.859142 -1232.195801 304.326019	-0.046 -0.000 -0.031
ttt_random_ammo	73.888634 -1229.768799 304.338348	-0.046 -0.000 -0.025
ttt_random_ammo	183.357635 -1234.172363 304.345306	-0.048 -0.000 -0.019
ttt_random_ammo	205.286819 -1232.499146 304.354156	-0.054 -0.000 -0.008
ttt_random_ammo	242.266449 -1228.955688 336.367310	0.081 0.000 0.033
ttt_random_ammo	240.267563 -1334.909790 336.370972	0.097 0.000 0.054
ttt_random_ammo	234.849304 -1360.363037 336.346802	0.049 0.000 -0.017
ttt_random_ammo	241.265121 -1426.055908 336.355408	0.056 0.000 -0.004
ttt_random_ammo	241.679672 -1452.416748 336.379456	0.165 0.001 0.141
ttt_random_ammo	-14.325830 -1230.677368 336.363464	0.070 0.000 0.018
ttt_random_ammo	13.114666 -1234.405884 336.330353	0.046 0.000 -0.029
ttt_random_ammo	-57.202408 -1237.059448 304.328552	-0.046 -0.000 -0.030
ttt_random_ammo	-88.670235 -1241.776978 304.376373	-0.119 -0.000 0.083
ttt_random_ammo	-114.078346 -1228.399414 304.347565	-0.049 -0.000 -0.017
ttt_random_ammo	-368.410797 -1233.607422 322.338379	-0.047 0.000 0.025
ttt_random_ammo	-366.179230 -1265.330444 322.387909	0.364 0.002 0.386
ttt_random_ammo	-268.151459 -1231.147583 322.385742	-0.217 0.001 -0.205
ttt_random_ammo	-275.804474 -1266.850220 322.377808	0.151 0.001 0.122
ttt_random_ammo	-83.447273 -1458.832764 304.358429	-0.059 0.000 -0.001
ttt_random_ammo	-123.071388 -1456.484009 304.378265	-0.134 -0.000 0.101
ttt_random_ammo	-160.667191 -1453.999512 304.379547	-0.161 -0.134 0.333
ttt_random_ammo	-194.867828 -1459.683105 304.410675	1.662 -0.034 -2.001
ttt_random_ammo	201.455048 -1452.701172 304.391632	-0.314 -0.002 0.326
ttt_random_ammo	176.373703 -1453.724854 304.401764	-0.601 -0.005 0.678
ttt_random_ammo	39.078846 -1388.740845 520.395264	1.196 0.017 1.402
ttt_random_ammo	38.333771 -1363.494019 520.386719	0.307 0.002 0.317
ttt_random_ammo	11.803539 -1389.129639 520.357483	0.058 0.000 0.000
ttt_random_ammo	0.005396 -1361.607422 520.412170	1.693 0.034 2.042
ttt_random_ammo	-17.124964 -1391.839844 520.384033	0.236 0.001 0.229
ttt_random_ammo	-25.245573 -1357.267944 520.386719	0.308 0.002 0.318
ttt_random_ammo	-44.084446 -1392.533203 520.357483	0.059 0.000 0.000
ttt_random_ammo	-47.695786 -1366.806885 520.312012	0.047 0.000 -0.037
ttt_random_ammo	-147.022598 -1356.387817 512.367310	0.082 0.000 0.034
ttt_random_ammo	-169.926941 -1300.967896 512.342285	0.047 0.000 -0.021
ttt_random_ammo	-176.744904 -1323.514893 544.361511	0.066 0.000 0.011
ttt_random_ammo	-206.360779 -1364.998779 512.344543	0.048 0.000 -0.019
ttt_random_ammo	-202.763718 -1389.679810 512.348999	0.050 0.000 -0.014
ttt_random_ammo	-181.339249 -1398.901489 512.327820	0.046 0.000 -0.030
ttt_random_ammo	-179.827484 -1359.679443 576.351196	0.052 0.000 -0.011
ttt_random_ammo	-306.422760 -1484.328857 512.374451	0.119 0.000 0.082
ttt_random_ammo	-333.703247 -1484.602295 512.379456	0.163 0.001 0.139
ttt_random_ammo	-813.157959 48.969723 80.349007	0.050 0.000 -0.014
ttt_random_ammo	-813.265991 72.615364 80.327850	0.046 0.000 -0.031
ttt_random_ammo	-781.732544 45.470612 48.379440	0.168 0.001 0.144
ttt_random_ammo	-760.280029 47.571236 48.365421	0.076 0.000 0.025
ttt_random_ammo	-814.458313 150.449814 48.461506	-1.031 -0.027 1.244
ttt_random_ammo	-817.509583 177.907532 48.326038	-0.046 -0.000 -0.032
ttt_random_ammo	-631.985657 -491.189514 80.344559	0.048 0.000 -0.019
ttt_random_ammo	-659.351929 -493.521545 80.370964	0.097 0.000 0.054
ttt_random_ammo	-645.864319 -463.467743 48.388004	0.352 0.002 0.373
ttt_random_ammo	-695.394592 -492.636932 48.412819	1.634 0.035 1.965
ttt_random_ammo	-684.219116 -454.485352 48.359539	0.063 0.000 0.006
ttt_random_ammo	-660.668396 -436.146820 48.376183	0.134 0.000 0.101
ttt_random_ammo	-684.951538 -399.363983 80.320084	0.046 0.000 -0.034
ttt_random_ammo	-660.997314 -399.839386 80.320084	0.046 0.000 -0.034
ttt_random_ammo	-688.352539 -177.915939 79.980698	-0.113 0.135 0.170
ttt_random_ammo	-620.521057 -243.125565 80.351181	0.052 0.000 -0.011
ttt_random_ammo	-599.821899 -242.360336 80.390327	0.458 0.003 0.503
ttt_random_ammo	-595.943970 -148.928436 48.332813	0.046 0.000 -0.028
ttt_random_ammo	-617.188721 -148.239868 48.427776	1.449 0.034 1.755
ttt_random_ammo	-653.021545 -186.419815 48.355442	0.056 0.000 -0.004
ttt_random_ammo	-624.983521 -180.639252 48.372765	0.107 0.000 0.066
ttt_random_ammo	-590.816101 -178.397827 48.361538	0.066 0.000 0.011
ttt_random_ammo	-599.721985 -205.612183 48.317444	0.047 0.000 -0.035
ttt_random_ammo	-641.999939 -208.948212 48.417530	1.574 -0.042 -1.901
ttt_random_ammo	-239.819748 -306.502350 80.342278	0.047 0.000 -0.021
ttt_random_ammo	-202.724167 -304.724426 48.397747	-0.481 -0.003 0.530
ttt_random_ammo	-171.630173 -300.837799 48.338367	-0.047 -0.000 -0.025
ttt_random_ammo	-146.612122 -302.423737 48.370594	-0.091 -0.000 0.046
ttt_random_ammo	-82.281296 -429.291382 80.325279	0.046 0.000 -0.031
ttt_random_ammo	-111.658333 -430.007721 80.369156	0.088 0.000 0.043
ttt_random_ammo	-81.041061 -399.000336 48.377834	0.150 0.001 0.121
ttt_random_ammo	-108.666328 -399.657532 48.355438	0.057 0.000 -0.004
ttt_random_ammo	-142.005081 -426.514252 48.363480	0.071 -0.000 -0.018
ttt_random_ammo	-144.711258 -396.099213 48.388752	0.415 -0.003 -0.449
ttt_random_ammo	-180.753784 -401.379639 48.370586	-0.091 -0.000 0.045
ttt_random_ammo	-209.181854 -402.439423 48.374474	-0.110 -0.000 0.070
ttt_random_ammo	-234.871536 -401.057587 48.366634	-0.077 -0.000 0.027
ttt_random_ammo	-235.076950 -434.933838 80.320847	-0.047 -0.000 -0.034
ttt_random_ammo	-205.502701 -430.655334 80.356339	-0.057 -0.000 -0.003
ttt_random_ammo	-173.255157 -432.624115 80.391281	0.539 0.004 0.602
