# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_avalon
# Exported by: amber
setting:	replacespawns 0
ttt_random_weapon	-495.968323 -231.829071 210.821640	1.879 3.849 -91.950
ttt_random_weapon	-494.096252 -193.149429 210.886292	0.881 5.060 -93.855
ttt_random_weapon	-526.749207 122.329712 729.224060	1.604 4.761 -93.219
ttt_random_weapon	-509.144684 92.023376 729.217957	1.673 4.766 -93.061
ttt_random_weapon	-507.872101 71.586601 729.202698	1.844 4.778 -92.667
ttt_random_weapon	276.093567 -261.465973 1057.433472	0.941 6.285 -92.438
ttt_random_weapon	342.998047 -147.123322 605.202026	1.852 4.778 -92.650
ttt_random_weapon	311.482971 -176.732742 605.208496	1.779 4.773 -92.817
ttt_random_weapon	-138.917770 346.095734 72.704498	1.824 4.377 -92.713
ttt_random_weapon	-175.237137 340.748444 72.713364	1.725 4.371 -92.942
item_ammo_smg1_ttt	-779.769592 -146.452408 315.961060	0.469 -2.377 14.062
item_ammo_smg1_ttt	-799.866821 -116.135590 323.919800	0.841 -4.682 15.856
weapon_ttt_m16	-749.395142 668.649170 497.705292	-12.849 28.767 97.721
item_box_buckshot_ttt	-228.901443 1843.464355 89.697556	0.128 -0.226 1.328
item_box_buckshot_ttt	-205.137634 1851.195190 89.841377	0.150 -0.225 1.346
item_box_buckshot_ttt	-195.672974 1794.589478 86.023499	0.117 0.386 6.846
item_box_buckshot_ttt	-176.657135 1785.133789 84.895790	0.153 0.387 6.878
ttt_random_ammo	354.249725 -946.612671 70.652496	0.718 0.044 1.976
ttt_random_ammo	364.803711 -958.323120 70.080025	1.007 0.011 1.590
ttt_random_ammo	377.674866 -968.427307 69.655716	0.382 0.015 2.453
ttt_random_ammo	386.846222 -977.723267 69.289085	0.672 0.042 2.042
ttt_random_ammo	507.715149 -908.093872 67.798630	0.368 0.018 2.473
ttt_random_ammo	497.157867 -916.846741 67.831047	0.175 -0.012 2.588
ttt_random_ammo	486.441650 -927.456238 67.914917	0.302 0.016 2.562
ttt_random_ammo	472.468689 -937.090942 68.003151	0.609 0.001 2.065
ttt_random_ammo	828.703308 1378.372437 604.862427	-0.512 -2.988 -0.135
ttt_random_ammo	837.976379 1381.789307 604.712646	0.046 0.000 -0.030
ttt_random_ammo	846.643005 1386.239502 604.741882	0.060 0.000 0.003
ttt_random_ammo	824.857971 1383.562744 604.837463	-1.030 6.770 0.016
ttt_random_ammo	274.585175 -76.820404 1056.356079	0.132 -0.000 -0.099
ttt_random_ammo	288.336121 -73.386833 1056.335449	0.056 0.000 -0.004
ttt_random_ammo	301.493561 -72.385605 1056.307861	0.046 0.000 -0.030
ttt_random_ammo	313.793640 -70.123848 1056.356323	-0.120 -0.000 0.084
ttt_random_ammo	-24.030624 -406.046143 344.371002	0.097 0.000 0.054
ttt_random_ammo	-26.324839 -422.285492 344.430023	1.305 0.032 1.570
ttt_random_ammo	-24.228861 -437.186310 344.342285	0.047 0.000 -0.021
ttt_random_ammo	-24.438593 -450.561005 344.369171	0.089 0.000 0.043
ttt_random_ammo	-26.101786 -464.123260 344.342285	0.047 0.000 -0.021
ttt_random_ammo	-233.006226 -480.510529 344.385406	0.271 0.001 0.273
ttt_random_ammo	-232.171738 -464.694336 344.335236	0.046 0.000 -0.026
ttt_random_ammo	-233.950531 -452.018677 344.389862	0.466 -0.003 -0.512
ttt_random_ammo	-235.002914 -434.217865 344.367310	0.082 0.000 0.034
ttt_random_ammo	-238.058670 -412.809082 344.332825	0.046 0.000 -0.028
ttt_random_ammo	180.627426 -55.083141 378.152222	0.345 0.138 0.159
ttt_random_ammo	166.065399 -52.876015 378.196075	0.342 0.083 0.095
ttt_random_ammo	181.725098 -90.061821 378.083191	0.407 0.087 0.162
ttt_random_ammo	169.689896 -83.280640 378.102448	0.467 0.066 0.263
ttt_random_ammo	-891.262573 1089.034546 65.741264	-2.941 0.006 -0.197
ttt_random_ammo	-914.559082 1068.520142 65.109825	-2.725 -0.001 -0.253
ttt_random_ammo	-933.564026 1056.746826 64.529083	-2.317 0.029 0.289
ttt_random_ammo	-959.752075 1041.761230 65.344086	3.580 -0.426 0.371
ttt_random_ammo	-855.425842 1035.209351 67.423538	-2.703 -0.002 -0.259
ttt_random_ammo	-871.496765 1025.557129 66.962898	-2.459 -0.077 -0.315
ttt_random_ammo	-891.136902 1002.853088 66.193245	-2.479 -0.003 0.244
ttt_random_ammo	-911.103943 991.075012 65.513763	-2.430 -0.028 0.221
ttt_random_ammo	-266.427155 918.674988 103.097397	-68.149 -167.651 -178.359
ttt_random_ammo	-265.189270 924.683899 103.713036	-64.550 167.878 170.118
ttt_random_ammo	-280.850830 913.267639 96.363503	0.071 0.000 0.018
ttt_random_ammo	-305.008209 918.031738 101.759491	71.816 169.740 -178.966
ttt_random_ammo	-310.087250 920.643005 102.537903	47.309 -20.111 -9.538
ttt_random_ammo	-289.905518 924.355713 96.379448	0.167 0.001 0.143
ttt_random_ammo	87.057449 169.539368 208.358444	-0.060 -0.000 0.001
ttt_random_ammo	77.321259 159.341034 208.455231	-0.026 0.166 -0.025
ttt_random_ammo	67.697891 148.883392 208.397690	-0.474 -0.003 0.521
ttt_random_ammo	56.949284 137.590729 208.368622	-0.083 -0.000 0.035
ttt_random_ammo	-436.611115 651.475403 208.476746	0.282 1.584 -0.745
ttt_random_ammo	-475.287018 656.976074 208.445404	1.032 0.027 1.246
ttt_random_ammo	-445.961243 636.881714 208.374481	0.120 0.000 0.083
ttt_random_ammo	-461.477600 628.463501 208.382492	0.216 0.001 0.204
ttt_random_ammo	-483.396912 644.646301 208.377060	0.084 -0.218 -0.029
ttt_random_ammo	128.724213 -268.323151 210.128540	0.034 -0.118 0.356
ttt_random_ammo	108.577652 -270.289612 210.126328	0.027 -0.133 0.411
ttt_random_ammo	78.103714 -272.560699 210.125946	0.001 -0.118 0.450
ttt_random_ammo	110.273247 -257.011719 210.110107	-0.035 -0.134 0.602
ttt_random_ammo	-483.056488 -275.949249 246.685089	-0.164 -1.378 0.519
ttt_random_ammo	-483.695740 -118.302864 203.910324	0.469 0.540 0.207
ttt_random_ammo	-323.567780 -109.619591 216.626038	-0.003 1.742 -0.012
ttt_random_ammo	-323.618408 -122.537827 216.617294	0.019 -0.068 -0.008
ttt_random_ammo	-334.076202 -113.354233 216.617889	-0.006 -0.077 0.053
ttt_random_ammo	-331.794312 -239.145447 257.037994	0.002 2.146 -0.002
ttt_random_ammo	-321.140076 -258.029816 257.038269	0.002 -1.232 -0.002
ttt_random_ammo	-320.475800 -245.876083 256.956543	0.581 1.414 -0.245
ttt_random_ammo	-530.503052 1173.516602 483.568634	6.855 -0.517 0.315
ttt_random_ammo	-414.486084 1210.002686 465.435944	6.392 -0.710 0.947
ttt_random_ammo	-444.353516 102.975273 728.430481	1.259 0.030 1.511
ttt_random_ammo	-460.430695 65.454208 728.379456	0.165 0.001 0.141
ttt_random_ammo	-473.186249 56.720783 728.335205	0.046 0.000 -0.026
ttt_random_ammo	-451.783508 81.756279 728.330322	0.046 0.000 -0.029
ttt_random_ammo	-508.899017 178.558243 728.353333	0.054 0.000 -0.008
ttt_random_ammo	-537.747253 167.158112 728.454041	0.847 0.024 1.022
ttt_random_ammo	-527.054810 187.420731 728.412720	1.603 0.035 1.924
ttt_random_ammo	-480.705292 192.081421 728.325256	0.046 0.000 -0.031
ttt_random_ammo	267.122101 -244.815628 1056.766113	-0.310 -0.244 1.217
ttt_random_ammo	244.966171 -257.050720 1056.491577	-0.303 -0.134 1.521
ttt_random_ammo	367.576141 -164.698578 604.353333	0.054 0.000 -0.008
ttt_random_ammo	349.256866 -186.222488 604.351196	0.052 0.000 -0.011
ttt_random_ammo	332.582123 -198.563766 604.425476	1.437 0.033 1.735
ttt_random_ammo	289.396027 -206.259155 604.355408	0.056 0.000 -0.004
ttt_random_ammo	263.945923 -197.846924 604.317383	0.047 0.000 -0.035
ttt_random_ammo	314.749054 -201.743835 604.359497	0.062 0.000 0.005
ttt_random_ammo	363.214996 15.936466 170.983276	-11.319 38.984 110.118
ttt_random_ammo	363.202759 -57.244709 148.109055	-2.186 11.403 -73.983
ttt_random_ammo	379.154999 -49.248051 149.779205	-0.632 2.922 101.832
ttt_random_ammo	-191.749420 327.990845 71.867264	0.316 0.000 0.080
ttt_random_ammo	-140.014374 330.759735 71.914810	1.392 0.027 1.521
ttt_random_ammo	-88.105446 352.744385 71.996384	-0.328 -27.632 -0.424
ttt_random_ammo	-103.836929 333.808350 71.899536	1.641 0.025 1.790
ttt_random_ammo	-161.632294 323.869171 71.883171	1.215 0.014 1.223
weapon_zm_rifle	871.776550 1360.738647 603.477051	3.686 12.652 64.997
weapon_zm_rifle	-116.549652 -336.461884 471.304230	3.235 8.361 66.548
weapon_zm_rifle	205.377853 -210.375305 1055.511353	2.895 11.313 65.717
weapon_zm_mac10	-786.627014 -122.657471 322.362335	-12.528 52.821 96.596
item_ammo_357_ttt	872.758118 1331.030518 604.762817	0.459 -0.057 -0.035
item_ammo_357_ttt	884.867920 1334.242188 604.732910	0.453 -0.063 -0.047
item_ammo_357_ttt	-95.935112 -326.126556 472.350067	0.455 0.064 0.047
item_ammo_357_ttt	-112.304588 -325.890350 472.332550	0.451 0.066 0.054
item_ammo_357_ttt	198.070114 -193.304565 1056.751221	1.224 -0.141 -6.148
item_ammo_357_ttt	176.074158 -194.533676 1056.662476	0.077 -0.131 0.711
item_ammo_357_ttt	232.827408 -236.523285 1056.643677	0.037 0.063 0.851
item_ammo_pistol_ttt	-729.066711 658.417419 494.394501	-1.480 0.577 22.190
item_ammo_pistol_ttt	-721.312317 680.421997 503.564362	-3.312 6.267 21.827
item_ammo_pistol_ttt	-545.606140 1193.413940 484.158142	5.769 -0.695 -1.086
item_ammo_pistol_ttt	358.840881 -971.368530 70.039253	1.686 -0.202 1.097
item_ammo_pistol_ttt	494.618347 -944.496277 67.377556	1.788 -0.192 1.095
weapon_ttt_confgrenade	324.467163 -78.201546 606.099609	15.605 -25.918 -89.335
weapon_ttt_confgrenade	311.154053 -68.036621 606.190002	14.499 -26.267 -91.049
weapon_ttt_confgrenade	263.714539 -191.634003 1058.258301	13.382 -26.574 -92.746
weapon_ttt_confgrenade	289.981537 -196.867432 1058.146362	14.804 -26.179 -90.596
weapon_ttt_confgrenade	-134.024429 -480.992798 346.078674	15.874 -25.829 -88.936
weapon_ttt_confgrenade	-99.245064 -479.849030 346.116791	15.413 -25.988 -89.655
weapon_ttt_confgrenade	-144.881195 -322.216827 474.122772	15.334 -26.013 -89.770
weapon_ttt_confgrenade	-127.294724 -307.707733 474.140411	15.120 -26.081 -90.104
weapon_ttt_confgrenade	392.973480 -45.406597 150.083572	32.229 36.224 101.534
weapon_ttt_confgrenade	378.240448 -88.344696 141.241013	0.555 45.980 119.577
weapon_ttt_confgrenade	373.062073 -81.866875 142.942322	6.024 26.239 123.821
weapon_ttt_confgrenade	369.286530 -79.895020 142.582916	52.635 -76.805 -89.517
weapon_ttt_confgrenade	-521.106445 1193.783936 484.486572	16.062 54.199 94.992
weapon_ttt_confgrenade	-447.271515 1206.227539 470.363647	13.432 -73.905 -102.402
weapon_ttt_confgrenade	-897.607849 1019.652954 68.063957	9.849 -107.377 97.984
weapon_ttt_confgrenade	-923.956665 1004.898926 67.197685	39.399 -94.478 96.033
weapon_ttt_confgrenade	-66.913994 1104.040405 98.270958	9.959 -75.792 -93.435
weapon_ttt_confgrenade	-40.927246 1106.995239 98.432365	8.835 126.329 -96.387
weapon_ttt_confgrenade	-65.525436 1090.552490 98.136597	-36.371 -49.618 -90.967
weapon_ttt_confgrenade	-43.932232 1083.905029 98.264107	-39.181 -39.943 -94.453
item_ammo_revolver_ttt	-497.114838 1179.796997 478.567413	13.688 -1.240 0.062
item_ammo_revolver_ttt	-459.260406 1198.220947 470.522736	12.455 0.022 0.981
item_ammo_revolver_ttt	-200.563324 -44.655067 472.353638	0.455 0.062 0.046
item_ammo_revolver_ttt	-176.292938 -46.727848 472.342590	0.453 0.064 0.050
weapon_zm_shotgun	-212.408264 1831.740845 89.643211	-0.591 8.614 85.245
weapon_zm_shotgun	-181.459702 1818.951172 89.156548	-1.714 8.784 91.765
weapon_zm_sledge	-445.629700 423.178619 726.834229	-11.502 19.590 104.123
weapon_zm_sledge	-451.634308 433.268188 729.548157	-12.018 20.435 103.842
weapon_zm_revolver	-511.015320 1164.350952 482.047180	14.074 -28.293 -89.951
weapon_zm_revolver	-163.205734 -47.734833 472.970520	1.921 -20.599 -85.932
weapon_ttt_glock	-520.185791 1180.926758 483.267334	3.993 31.978 94.377
weapon_ttt_glock	-441.251373 1195.692871 468.287811	3.093 31.997 94.801
weapon_ttt_glock	-469.776428 1172.892212 473.041382	9.650 33.457 98.318
weapon_zm_pistol	-488.732300 1173.688843 477.169525	11.232 34.117 96.269
weapon_zm_pistol	-457.874847 1185.999023 470.495148	9.312 34.725 96.068
