# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_shitcity
# Exported by: Shrek Gameplay
setting:	replacespawns 1
ttt_random_ammo	-248.787338 351.963806 64.376183	0.135 0.000 0.102
ttt_random_ammo	-406.757050 240.851501 144.694412	-0.064 0.238 0.124
ttt_random_ammo	-460.359467 315.120575 64.347610	-0.050 -0.000 -0.017
ttt_random_ammo	-522.692688 -101.950989 64.391304	0.536 0.004 0.598
ttt_random_ammo	-553.906372 -101.255669 64.361534	0.067 0.000 0.012
ttt_random_ammo	-661.416748 755.438721 64.387840	-0.249 -0.001 0.245
ttt_random_ammo	-547.510803 597.021423 64.465675	-0.948 -0.025 1.147
ttt_random_ammo	-710.644775 788.403259 64.381004	0.190 0.001 0.171
ttt_random_ammo	-1004.677979 893.177490 64.472733	0.490 0.019 0.594
ttt_random_ammo	-962.341370 900.053345 64.342300	0.048 0.000 -0.021
ttt_random_ammo	-908.140198 905.811462 64.465370	0.620 -0.021 -0.751
ttt_random_ammo	-800.412720 124.653000 64.446861	1.059 0.027 1.285
ttt_random_ammo	-760.938416 165.376999 64.423683	1.569 0.040 1.904
ttt_random_ammo	-390.075806 -119.087708 336.332794	0.046 0.000 -0.028
ttt_random_ammo	-471.883911 -62.339115 336.383972	-0.188 -0.001 0.170
ttt_random_ammo	-372.113007 158.263382 336.432037	1.266 0.031 1.525
weapon_zm_rifle	-250.941971 -194.219345 81.006477	3.379 9.489 65.622
weapon_zm_rifle	112.616837 449.282837 30.300608	3.361 11.969 65.645
weapon_zm_rifle	405.952087 -296.815399 63.198128	3.329 13.344 65.356
weapon_zm_mac10	159.182922 -85.838264 355.056885	-0.090 -50.935 -88.090
weapon_zm_mac10	298.514648 487.905426 321.284302	-0.561 -50.376 -88.918
weapon_zm_mac10	180.264389 -5.789095 65.224289	-0.127 -50.620 -88.412
ttt_playerspawn	63.376366 191.302429 0.535067	-0.063 -0.000 0.063
ttt_playerspawn	290.832611 319.638916 64.541855	-0.056 -0.000 0.056
ttt_playerspawn	68.828354 256.368286 0.524506	-0.074 -0.000 0.074
ttt_playerspawn	33.164299 226.147491 192.537003	-0.062 -0.000 0.061
ttt_playerspawn	29.782022 406.115662 192.522202	-0.076 -0.000 0.076
ttt_playerspawn	152.713181 20.858282 320.580597	0.019 0.000 0.018
ttt_playerspawn	-472.056702 -113.817955 336.517059	-0.033 -0.000 0.033
ttt_playerspawn	-466.028259 112.525993 336.482666	-0.047 -0.000 0.047
ttt_playerspawn	-400.980927 428.369171 336.551788	-0.019 -0.000 0.019
ttt_playerspawn	-323.695221 317.545319 336.541534	0.189 0.071 -0.029
ttt_playerspawn	-321.776581 482.611420 336.542206	-0.070 -0.000 0.070
ttt_playerspawn	-315.571930 444.022522 200.539780	-0.059 -0.000 0.059
ttt_playerspawn	-324.041687 195.717789 200.538864	-0.060 -0.000 0.060
ttt_playerspawn	-361.530273 21.453272 192.479065	-0.049 -0.000 0.049
ttt_playerspawn	-472.059784 -2.373453 192.574661	-0.095 0.081 -0.015
ttt_playerspawn	-65.412453 -81.671646 192.569397	-0.053 -0.015 0.007
ttt_playerspawn	-449.852325 -259.799866 64.545250	0.052 0.000 0.052
ttt_playerspawn	-181.813232 -195.818466 64.555656	-0.042 -0.000 0.042
ttt_playerspawn	-129.456604 -96.034271 64.550262	0.060 0.000 0.060
ttt_playerspawn	-128.774155 32.958164 64.535767	-0.078 -0.000 0.078
ttt_playerspawn	9.133382 34.880123 -47.474365	-0.073 -0.000 0.073
ttt_playerspawn	-802.681580 38.430305 64.538864	-0.060 -0.000 0.060
ttt_playerspawn	-807.951538 220.975662 64.541565	-0.057 -0.000 0.057
ttt_playerspawn	-449.844818 353.117310 64.527847	-0.070 -0.000 0.070
ttt_playerspawn	-447.977234 -78.497017 64.515793	-0.034 -0.000 0.034
ttt_playerspawn	-449.348358 12.233119 64.504990	0.038 0.000 0.038
ttt_playerspawn	-292.512665 -38.738094 64.513214	-0.035 -0.000 0.035
ttt_playerspawn	-1017.884583 583.470703 64.536041	-0.062 -0.000 0.062
ttt_playerspawn	-890.689636 964.692627 64.534081	-0.064 -0.000 0.064
ttt_playerspawn	-838.386047 637.362244 64.566406	-0.157 -0.077 -0.050
ttt_playerspawn	-698.567017 356.872131 64.535065	-0.063 -0.000 0.063
ttt_playerspawn	283.771729 -135.750961 64.532402	-0.065 -0.000 0.065
ttt_playerspawn	295.155304 318.962921 320.561676	-0.038 -0.000 0.037
ttt_playerspawn	-93.747337 -240.581100 320.552917	-0.045 -0.000 0.045
ttt_playerspawn	314.305573 -286.907043 320.564087	-0.034 -0.000 0.034
ttt_playerspawn	-190.092606 421.601318 200.592682	-0.025 -0.902 -0.004
ttt_playerspawn	-460.386597 287.716858 200.509537	-0.088 -0.000 0.088
ttt_playerspawn	-474.547363 -4.665734 336.541382	-0.080 1.501 -0.021
item_ammo_357_ttt	-232.770782 -206.270447 82.207115	0.885 0.351 -0.048
item_ammo_357_ttt	-220.172363 -205.268219 82.121635	0.425 0.066 0.027
item_ammo_357_ttt	97.990982 457.542358 31.510284	0.472 0.060 0.001
item_ammo_357_ttt	111.667168 457.272675 31.482971	0.461 -0.074 -0.018
item_ammo_357_ttt	430.455536 -332.538330 64.381355	0.460 0.055 0.036
item_ammo_357_ttt	418.654510 -322.796417 64.340530	0.452 0.063 0.052
item_ammo_357_ttt	-145.128433 -101.926025 -47.653679	0.453 0.062 0.049
item_ammo_pistol_ttt	-197.604523 495.232697 297.443848	0.045 0.026 0.012
item_ammo_pistol_ttt	-187.221298 485.562805 297.436768	0.136 0.017 0.044
item_ammo_pistol_ttt	-180.363922 222.892487 211.942001	-0.003 -0.020 -0.001
item_ammo_pistol_ttt	-195.070007 222.588211 211.938690	0.006 0.021 -0.001
item_ammo_pistol_ttt	-78.363022 -330.906982 354.383057	0.150 -0.043 0.329
item_ammo_pistol_ttt	-91.237679 -330.126404 354.326752	0.534 -0.028 0.474
item_ammo_pistol_ttt	-296.407654 91.968269 336.462189	-0.279 0.866 -0.328
item_ammo_pistol_ttt	-235.878357 120.923233 358.239899	0.013 -0.022 0.009
item_ammo_pistol_ttt	-435.718414 197.444992 336.366821	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-436.756104 224.196930 336.366821	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-332.600708 -18.743746 64.345306	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	-231.895782 -128.057068 64.376419	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-348.235443 -180.598862 64.342972	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	95.686935 335.013123 192.364822	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	96.169983 309.908539 192.433884	-0.057 -0.020 -0.017
item_ammo_pistol_ttt	-142.186920 292.316101 376.576965	0.139 0.127 0.067
item_ammo_pistol_ttt	-152.635117 293.610809 376.506927	0.305 -0.047 0.036
item_ammo_pistol_ttt	-172.653137 -17.517426 336.396698	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	97.518791 -154.772079 320.412018	0.302 -0.089 0.408
item_ammo_pistol_ttt	71.955559 -134.644577 192.436523	-0.644 0.101 -0.607
item_ammo_pistol_ttt	84.544182 -134.326385 192.404129	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	432.733093 136.078125 64.337540	0.048 -0.026 -0.003
item_ammo_pistol_ttt	65.171349 -105.106987 -2.090256	0.186 -0.012 0.141
item_ammo_pistol_ttt	49.823257 -105.681473 -47.639294	-0.121 -0.019 -0.037
item_ammo_pistol_ttt	-315.854462 220.972977 416.982178	-0.149 0.132 -0.039
item_ammo_pistol_ttt	-306.280212 210.049576 416.926392	-0.342 0.061 0.076
item_ammo_pistol_ttt	-199.835236 485.897278 211.833023	0.202 1.840 -0.000
item_ammo_pistol_ttt	-467.170563 343.300629 200.335754	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-484.378662 126.465134 192.368805	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	-471.791382 124.913612 192.422165	-0.067 -0.020 -0.020
weapon_zm_molotov	-183.765274 253.525848 312.525360	-0.486 -1.523 -0.473
weapon_zm_molotov	412.880035 82.402451 320.158569	-2.313 -1.299 -1.665
weapon_zm_molotov	398.562561 73.791809 320.199554	-0.983 -1.479 -0.706
weapon_zm_molotov	-273.376617 198.635315 418.234680	19.841 -61.567 -89.949
weapon_zm_molotov	113.620995 49.629707 437.443542	-0.933 -1.615 -1.425
weapon_zm_molotov	118.842224 -107.139252 437.439209	-0.976 -1.571 -1.491
weapon_zm_molotov	107.747086 -103.554749 437.458954	-0.780 -1.675 -1.190
weapon_zm_molotov	266.129517 465.416016 368.140381	-1.911 -1.293 -1.947
weapon_zm_molotov	-166.582718 203.930237 381.620544	-0.076 0.686 3.402
weapon_ttt_confgrenade	-227.262863 483.502594 235.393951	12.819 22.698 93.554
weapon_ttt_confgrenade	-447.873047 406.889771 362.740509	-38.375 51.476 94.443
weapon_ttt_confgrenade	-463.617462 415.330902 360.707245	-0.587 -2.505 0.141
weapon_ttt_confgrenade	-449.587280 421.378998 360.626282	-4.509 -1.110 2.422
weapon_ttt_confgrenade	-156.179321 36.580116 194.214508	-37.561 -48.386 -92.873
weapon_ttt_confgrenade	-248.003204 -22.861084 194.188065	14.526 -26.260 -91.011
weapon_ttt_confgrenade	-238.864716 -3.516391 194.131607	15.222 -26.047 -89.938
item_ammo_revolver_ttt	-268.750519 -121.297081 373.748199	0.470 -0.061 -0.006
item_ammo_revolver_ttt	-368.305511 270.271301 336.425293	0.339 -1.924 0.307
item_ammo_revolver_ttt	-20.633783 3.590908 232.434219	0.516 0.025 0.033
item_ammo_revolver_ttt	-318.559753 129.016785 223.385269	0.499 -0.077 -0.021
item_ammo_revolver_ttt	115.882317 -49.763233 -2.070414	0.559 -0.209 0.299
item_ammo_revolver_ttt	-382.451050 95.366592 101.423882	0.489 0.054 -0.005
item_ammo_revolver_ttt	-211.574646 371.713593 85.715721	4.808 -0.351 0.564
weapon_zm_shotgun	-361.614990 -34.159447 233.291580	-0.485 -9.041 -84.740
weapon_zm_shotgun	-233.759018 108.574104 223.735214	-0.480 9.127 84.745
weapon_zm_shotgun	239.751495 -267.587555 351.982269	-0.320 -8.773 -84.013
weapon_zm_shotgun	-66.478935 -18.945211 370.841766	-0.640 -6.467 -84.280
weapon_zm_shotgun	-339.368774 -109.198807 84.131844	-0.436 9.289 84.531
weapon_zm_shotgun	-132.691345 15.223913 -46.921673	-0.412 -8.794 -83.962
weapon_zm_shotgun	60.052879 -104.074226 65.084190	-0.324 -8.491 -84.016
weapon_zm_sledge	-196.519577 193.157715 238.070755	18.634 -0.359 2.992
weapon_zm_sledge	-305.366028 484.820984 244.855255	18.634 -0.189 2.992
weapon_zm_sledge	67.877403 85.546471 404.168427	18.463 2.406 3.402
weapon_zm_sledge	108.616066 -333.874725 420.141357	12.256 0.417 2.705
weapon_zm_sledge	-446.529663 370.141693 197.808441	18.634 -0.130 2.992
weapon_zm_revolver	-270.328857 -113.184074 374.276337	2.220 -19.897 -85.412
weapon_zm_revolver	-23.858068 11.637711 233.098419	1.915 -18.402 -85.934
weapon_zm_revolver	-319.887421 108.645615 224.037369	1.993 -17.531 -85.803
weapon_zm_revolver	118.035789 -44.570648 -1.518260	2.405 -18.572 -85.142
weapon_zm_revolver	-207.492310 380.088165 86.084984	6.480 -28.285 -86.681
weapon_ttt_glock	-114.913498 87.758301 407.529480	-0.814 23.428 91.793
weapon_ttt_glock	-465.196045 347.589172 377.241364	-0.885 25.847 91.811
weapon_ttt_glock	110.026436 -130.805420 193.040009	-0.144 17.902 90.967
weapon_ttt_glock	-308.175140 230.707382 417.646240	-0.250 25.520 90.380
weapon_ttt_glock	-189.041718 488.352844 212.452225	-0.353 25.200 90.527
weapon_zm_pistol	-185.649338 199.884476 212.395340	0.047 -36.731 -89.377
weapon_zm_pistol	-196.559647 188.431747 212.292831	0.177 -36.758 -88.203
weapon_zm_pistol	-172.637589 298.608368 377.254333	0.057 36.261 89.913
weapon_zm_pistol	-159.679749 -13.411929 370.867065	-0.223 32.654 89.700
weapon_zm_pistol	115.263084 -118.089836 192.918076	0.733 -37.199 -89.301
weapon_zm_pistol	72.193047 -102.885216 -1.546327	0.098 -36.257 -89.509
weapon_zm_pistol	-251.564407 113.419594 358.534546	-0.086 -32.333 -88.233
weapon_zm_pistol	111.177132 57.649364 438.132385	0.475 -36.213 -88.080
weapon_zm_pistol	-468.701080 355.867065 200.894257	0.993 -37.224 -89.126
