# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_vessel
# Exported by: amber
setting:	replacespawns 1
weapon_ttt_smokegrenade	-504.862854 -1981.447510 384.179260	-1.852 -1.448 -1.012
weapon_ttt_smokegrenade	-405.798492 -1983.283813 428.121063	26.573 -99.051 90.773
weapon_ttt_smokegrenade	-405.348694 -2030.524658 428.134735	25.704 -97.013 91.265
ttt_random_weapon	-216.647995 1166.489990 271.653992	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-179.449997 -2510.370117 155.229996	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-290.475006 -2171.669922 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	173.641708 -2376.170898 997.124023	9.212 -11.251 -97.703	auto_ammo 2
ttt_random_weapon	266.085693 -2375.806152 997.124817	9.243 -11.281 -97.906	auto_ammo 2
ttt_random_weapon	-140.383041 -2406.307617 997.124390	9.217 -11.259 -97.759	auto_ammo 2
ttt_random_weapon	-230.510010 -1513.283203 389.131012	9.133 -11.346 -98.246	auto_ammo 2
ttt_random_weapon	-165.183228 -1564.114502 389.128998	9.118 -11.300 -97.942	auto_ammo 2
ttt_random_weapon	-65.009331 -1602.460449 389.131256	9.134 -11.351 -98.283	auto_ammo 2
ttt_random_weapon	43.418278 -1594.705444 389.131500	9.136 -11.357 -98.321	auto_ammo 2
ttt_random_weapon	147.173431 -1508.828003 389.132965	9.149 -11.391 -98.570	auto_ammo 2
ttt_random_weapon	44.445351 -1355.088379 518.625977	9.111 -11.320 -98.060	auto_ammo 2
ttt_random_weapon	82.727844 -1401.651855 518.628662	9.146 -11.388 -98.544	auto_ammo 2
ttt_random_weapon	207.264618 -1382.835327 649.246094	9.165 -11.435 -98.928	auto_ammo 2
ttt_random_weapon	317.023529 -1409.324829 649.233398	9.264 -11.221 -97.728	auto_ammo 2
ttt_random_weapon	422.675659 -1356.891113 649.242004	9.134 -11.351 -98.282	auto_ammo 2
ttt_random_weapon	200.703201 -1824.897217 389.133698	9.153 -11.405 -98.682	auto_ammo 2
ttt_random_weapon	212.696442 -1652.541870 389.133362	9.146 -11.396 -98.608	auto_ammo 2
ttt_random_weapon	130.429718 -1791.529419 389.128784	9.117 -11.295 -97.911	auto_ammo 2
ttt_random_weapon	316.463226 -1688.193604 388.972168	0.486 -33.065 125.169	auto_ammo 2
ttt_random_weapon	256.279205 -1866.972412 389.131317	9.135 -11.353 -98.295	auto_ammo 2
ttt_random_weapon	221.043152 -1268.835571 649.244019	9.150 -11.396 -98.608	auto_ammo 2
ttt_random_weapon	-310.488983 -1397.432129 777.239380	9.097 -11.206 -97.816	auto_ammo 2
ttt_random_weapon	-269.002655 -1332.207520 777.250977	9.046 -12.247 -99.140	auto_ammo 2
ttt_random_weapon	-396.623352 -1243.915405 777.244324	9.105 -11.308 -98.467	auto_ammo 2
ttt_random_weapon	-482.913757 -1321.756836 777.236389	9.214 -11.307 -97.894	auto_ammo 2
ttt_random_weapon	468.488403 -230.851547 777.238647	9.203 -10.270 -98.123	auto_ammo 2
ttt_random_weapon	36.579376 281.108276 777.241455	9.100 -11.247 -98.074	auto_ammo 2
ttt_random_weapon	23.552021 36.146358 777.246338	9.105 -11.349 -98.737	auto_ammo 2
ttt_random_weapon	-231.613190 231.339081 777.239319	9.098 -11.206 -97.816	auto_ammo 2
ttt_random_weapon	-222.213058 525.364075 777.239258	9.234 -10.300 -98.323	auto_ammo 2
ttt_random_weapon	-128.104446 448.264404 649.238953	9.110 -10.172 -97.814	auto_ammo 2
ttt_random_weapon	-115.740540 650.599426 649.233337	9.224 -11.168 -97.579	auto_ammo 2
ttt_random_weapon	53.785225 436.174927 649.238770	9.207 -10.275 -98.157	auto_ammo 2
ttt_random_weapon	-110.374008 186.904037 518.625366	9.121 -11.313 -98.026	auto_ammo 2
ttt_random_weapon	-388.594208 205.254608 649.243958	9.102 -11.299 -98.406	auto_ammo 2
ttt_random_weapon	-380.065796 549.237305 777.238403	9.195 -10.256 -98.063	auto_ammo 2
ttt_random_weapon	-532.830933 555.203857 777.238281	9.190 -10.252 -98.036	auto_ammo 2
ttt_random_weapon	-624.642944 688.490540 388.297791	10.476 -61.903 -69.831	auto_ammo 2
ttt_random_weapon	577.591187 -76.495789 387.839600	7.283 125.813 -59.479	auto_ammo 2
ttt_random_weapon	-599.300964 -86.577087 388.895935	0.082 -0.475 124.283	auto_ammo 2
ttt_random_weapon	-601.058228 -550.547180 389.134674	9.114 -11.337 -98.651	auto_ammo 2
ttt_random_weapon	-592.243042 -1070.826294 389.131500	9.104 -11.361 -98.197	auto_ammo 2
ttt_random_weapon	177.271957 -1124.654419 389.119110	9.305 -22.292 -97.476	auto_ammo 2
ttt_random_weapon	168.423492 -1144.908325 388.960144	0.109 -9.187 124.824	auto_ammo 2
ttt_random_weapon	252.997101 -804.475708 649.238953	9.216 -10.284 -98.212	auto_ammo 2
ttt_random_weapon	256.195099 -705.540344 649.241943	9.100 -11.258 -98.143	auto_ammo 2
ttt_random_weapon	348.437775 -883.063049 648.351929	10.195 -4.878 -69.585	auto_ammo 2
ttt_random_weapon	450.429291 -811.900696 649.238464	9.193 -10.261 -98.065	auto_ammo 2
ttt_random_weapon	463.962158 -689.042603 650.797241	6.868 -16.539 -126.706	auto_ammo 2
ttt_random_weapon	459.347656 -697.450500 647.989258	1.561 -8.011 -24.542	auto_ammo 2
ttt_random_weapon	493.592133 188.324051 649.242310	9.136 -11.357 -98.323	auto_ammo 2
ttt_random_weapon	404.523132 279.584656 649.244019	9.103 -11.301 -98.417	auto_ammo 2
ttt_random_weapon	159.516953 643.880981 777.243042	9.139 -11.372 -98.430	auto_ammo 2
ttt_random_weapon	507.080078 659.423401 777.246033	9.106 -11.343 -98.695	auto_ammo 2
ttt_random_weapon	-535.960083 27.971783 777.233765	9.176 -11.063 -97.463	auto_ammo 2
ttt_random_weapon	-525.898743 44.342751 777.237000	9.216 -16.598 -97.976	auto_ammo 2
ttt_random_weapon	253.106781 720.895630 389.128510	9.182 -10.312 -98.124	auto_ammo 2
ttt_random_weapon	272.189789 -65.430908 389.124542	9.240 -11.291 -97.862	auto_ammo 2
ttt_random_weapon	-294.568329 -59.108608 389.124817	9.213 -11.282 -97.796	auto_ammo 2
ttt_random_weapon	-297.011627 798.815552 389.130341	9.128 -11.330 -98.143	auto_ammo 2
ttt_random_weapon	285.822784 1786.160889 485.121399	9.242 -11.233 -97.515	auto_ammo 2
ttt_random_weapon	294.211517 1921.856323 485.125275	9.213 -11.291 -97.855	auto_ammo 2
ttt_random_weapon	292.264069 1867.831421 485.118225	9.114 -10.593 -97.793	auto_ammo 2
ttt_random_weapon	-0.615404 2430.048828 485.123535	9.165 -11.231 -97.485	auto_ammo 2
ttt_random_weapon	120.444183 2433.731934 485.122467	9.204 -11.232 -97.503	auto_ammo 2
ttt_random_weapon	-169.818863 2418.778564 486.194366	8.014 -13.771 -114.532	auto_ammo 2
ttt_random_weapon	-167.645096 2406.718506 485.126617	9.097 -12.614 -97.595	auto_ammo 2
ttt_random_weapon	-378.682495 1623.613770 485.124512	9.238 -11.887 -97.858	auto_ammo 2
ttt_random_weapon	-430.705994 1573.032593 485.130859	9.158 -10.346 -98.330	auto_ammo 2
ttt_random_weapon	-294.435181 1499.782959 485.119385	9.321 -11.240 -97.565	auto_ammo 2
ttt_random_weapon	-249.036545 1572.244751 485.121887	9.275 -11.261 -97.685	auto_ammo 2
ttt_random_weapon	-278.099762 1648.509399 485.120819	9.282 -11.244 -97.589	auto_ammo 2
ttt_random_weapon	-397.245697 1490.482300 485.128784	9.178 -10.317 -98.147	auto_ammo 2
ttt_random_weapon	-400.216309 1213.018799 388.945404	-0.302 -140.682 125.318	auto_ammo 2
ttt_random_weapon	-308.531006 1077.169922 389.128998	9.200 -10.332 -98.254	auto_ammo 2
ttt_random_weapon	-459.090057 928.156433 389.127960	9.165 -10.293 -97.993	auto_ammo 2
ttt_random_weapon	-338.207458 933.100342 389.129456	9.122 -11.310 -98.010	auto_ammo 2
ttt_random_weapon	-485.382050 843.182800 389.128998	9.200 -10.331 -98.253	auto_ammo 2
ttt_random_weapon	401.158661 1111.345337 388.211365	9.987 -3.417 -67.901	auto_ammo 2
ttt_random_weapon	395.601166 1079.800659 389.124207	9.136 -10.414 -97.458	auto_ammo 2
ttt_random_weapon	537.524536 -669.360535 389.130798	9.131 -11.341 -98.213	auto_ammo 2
ttt_random_weapon	532.206665 -871.769348 389.124664	9.254 -11.138 -97.931	auto_ammo 2
ttt_random_weapon	577.764038 -1965.254761 389.127472	9.150 -10.276 -97.878	auto_ammo 2
ttt_random_weapon	589.777893 -2606.383301 389.130035	9.126 -11.324 -98.101	auto_ammo 2
ttt_random_weapon	156.502747 -2623.071533 387.696777	3.288 6.854 -41.579	auto_ammo 2
ttt_random_weapon	-457.355743 -2603.537354 389.127930	9.111 -11.276 -97.791	auto_ammo 2
ttt_random_weapon	16.109718 -2531.419189 612.256897	10.123 -6.250 -68.740	auto_ammo 2
ttt_random_weapon	-475.963959 -2102.096436 1163.880859	7.415 -5.045 -60.245	auto_ammo 2
ttt_random_weapon	439.715698 -2109.668213 1163.880859	7.415 -5.045 -60.245	auto_ammo 2
ttt_random_weapon	435.634186 -2221.569092 1163.881714	7.376 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-491.870850 -2303.430176 613.126404	9.100 -11.242 -97.574	auto_ammo 2
ttt_random_weapon	-453.772797 -2002.242676 613.130798	9.132 -11.341 -98.217	auto_ammo 2
ttt_random_weapon	478.647461 -1988.009888 613.130859	9.133 -11.343 -98.230	auto_ammo 2
ttt_random_weapon	592.819092 -2050.763428 613.130310	9.128 -11.330 -98.143	auto_ammo 2
ttt_random_weapon	600.605164 -2480.423828 613.131775	9.142 -11.364 -98.376	auto_ammo 2
ttt_random_weapon	745.960693 -2254.835449 479.187225	9.085 -5.209 -97.985	auto_ammo 2
ttt_random_weapon	714.402771 -2306.940918 479.184418	9.094 -11.250 -97.687	auto_ammo 2
ttt_random_weapon	-463.258026 -2306.435059 389.128510	9.182 -10.312 -98.123	auto_ammo 2
ttt_random_weapon	-454.196747 -2097.507080 997.123962	9.227 -11.258 -97.750	auto_ammo 2
ttt_random_weapon	-446.002411 -2242.086914 997.131775	9.128 -11.287 -98.328	auto_ammo 2
ttt_random_weapon	241.023453 -2210.481445 997.132874	9.155 -11.325 -98.576	auto_ammo 2
ttt_random_weapon	260.583649 -2250.502930 997.128784	9.120 -11.223 -97.920	auto_ammo 2
ttt_random_weapon	390.749451 -2380.322266 871.126160	9.170 -11.286 -97.804	auto_ammo 2
ttt_random_weapon	-374.218933 -1994.127930 871.126526	9.218 -11.319 -98.026	auto_ammo 2
ttt_random_weapon	193.935364 -2246.375977 742.125427	9.211 -11.293 -97.866	auto_ammo 2
ttt_random_weapon	67.313812 -2227.279053 742.125427	9.186 -11.280 -97.777	auto_ammo 2
ttt_random_weapon	-337.757690 -2472.926025 613.132935	9.152 -11.391 -98.578	auto_ammo 2
ttt_random_weapon	-216.694443 -2475.291992 613.130981	9.138 -11.723 -98.264	auto_ammo 2
ttt_random_weapon	-149.461746 -2201.298096 613.130127	9.128 -11.326 -98.117	auto_ammo 2
ttt_random_weapon	-145.050049 -2337.374268 613.132568	9.149 -11.382 -98.510	auto_ammo 2
ttt_random_weapon	-138.670120 -2132.763672 613.132996	9.151 -11.392 -98.580	auto_ammo 2
ttt_random_weapon	444.229187 -2352.729736 613.131592	9.138 -11.360 -98.344	auto_ammo 2
ttt_random_weapon	454.297913 -2256.640625 613.131836	9.140 -11.365 -98.385	auto_ammo 2
ttt_random_weapon	-577.713562 597.910339 267.403625	9.192 -11.227 -97.478	auto_ammo 2
ttt_random_weapon	-574.725586 528.438782 267.400604	9.297 -11.229 -97.503	auto_ammo 2
ttt_random_weapon	-210.114365 300.431335 203.852814	7.197 -5.348 -59.668	auto_ammo 2
ttt_random_weapon	-295.337189 -189.331284 205.132263	9.133 -11.371 -98.408	auto_ammo 2
ttt_random_weapon	319.541718 -498.988281 205.123810	9.151 -11.226 -97.468	auto_ammo 2
ttt_random_weapon	315.779968 -530.409119 205.126007	9.132 -11.263 -97.646	auto_ammo 2
ttt_random_weapon	-200.757095 -1203.134155 -26.871132	9.162 -11.318 -98.095	auto_ammo 2
ttt_random_weapon	-126.314545 -1196.146606 -26.870474	9.199 -11.348 -98.319	auto_ammo 2
ttt_random_weapon	213.717926 -1299.221558 -26.872864	9.125 -11.266 -97.751	auto_ammo 2
ttt_random_weapon	148.897583 -1293.536987 -26.870903	9.181 -11.332 -98.195	auto_ammo 2
ttt_random_weapon	201.773438 -1460.240479 -26.871244	9.159 -11.314 -98.069	auto_ammo 2
ttt_random_weapon	161.842163 -1459.239258 -26.873285	9.121 -11.256 -97.689	auto_ammo 2
ttt_random_weapon	-227.640259 -1637.650146 -26.870872	9.121 -11.303 -97.971	auto_ammo 2
ttt_random_weapon	-140.548264 -1628.320679 -26.867495	9.145 -11.380 -98.490	auto_ammo 2
ttt_random_weapon	339.491913 -1872.312866 237.131775	9.125 -11.358 -98.317	auto_ammo 2
ttt_random_weapon	-344.429504 -1874.685303 201.139725	8.955 -11.670 -98.673	auto_ammo 2
ttt_random_weapon	-413.877594 -983.350830 205.132797	9.131 -11.380 -98.471	auto_ammo 2
ttt_random_weapon	-338.590820 -933.493164 205.128357	9.163 -11.298 -98.037	auto_ammo 2
ttt_random_weapon	-154.425507 -80.850174 205.122314	9.285 -26.637 -97.767	auto_ammo 2
ttt_random_weapon	138.588348 -1004.930420 21.132050	9.145 -11.371 -98.431	auto_ammo 2
ttt_random_weapon	58.290554 -988.885864 21.127607	9.142 -11.283 -97.866	auto_ammo 2
ttt_random_weapon	135.866623 -2091.344727 1221.127930	9.116 -11.206 -97.810	auto_ammo 2
ttt_random_weapon	151.607101 -2011.936157 1221.129272	9.129 -11.238 -98.012	auto_ammo 2
ttt_random_weapon	412.397369 -2008.281006 871.126465	9.203 -11.309 -97.963	auto_ammo 2
ttt_random_weapon	-162.077652 2083.881836 397.119812	9.297 -11.233 -97.525	auto_ammo 2
item_ammo_smg1_ttt	366.847870 907.128845 384.500336	-0.841 0.012 -0.629
item_ammo_smg1_ttt	406.976532 879.748169 384.399292	0.153 -0.005 0.091
item_ammo_smg1_ttt	-344.965088 -2175.876709 452.143280	-0.035 1.123 0.244
item_ammo_smg1_ttt	-342.597992 -2132.997314 452.259186	-0.108 -0.030 0.226
weapon_zm_molotov	-251.854996 -714.687012 649.127014	0.000 0.000 0.000
weapon_zm_molotov	-249.645004 -700.392029 649.127014	0.000 0.000 0.000
weapon_zm_molotov	-458.666992 1780.670044 484.734009	0.000 0.000 0.000
weapon_zm_molotov	-458.082001 1814.619995 484.734009	0.000 0.000 0.000
weapon_zm_molotov	465.734009 1804.280029 484.734009	0.000 0.000 0.000
weapon_zm_molotov	51.923801 -776.171997 72.534302	0.000 0.000 0.000
weapon_zm_molotov	54.526600 -787.081970 72.534302	0.000 0.000 0.000
weapon_zm_molotov	-116.138000 -118.580002 59.870098	0.000 0.000 0.000
weapon_zm_molotov	-128.979004 -113.931000 59.870098	0.000 0.000 0.000
weapon_zm_molotov	-127.669998 -103.029999 59.870098	0.000 0.000 0.000
weapon_zm_molotov	-112.370003 -99.762901 59.870098	0.000 0.000 0.000
weapon_zm_molotov	-504.840302 -2035.530518 384.208954	-0.765 -1.510 -0.418
weapon_zm_molotov	-506.426971 -2090.055176 384.152832	-2.822 -1.186 -1.543
item_box_buckshot_ttt	335.630676 -644.298767 384.447632	-0.512 -0.007 0.454
item_box_buckshot_ttt	364.000977 -635.251099 384.378998	0.134 0.003 -0.024
item_box_buckshot_ttt	312.089508 -862.591248 384.419983	-0.712 -0.005 0.638
item_box_buckshot_ttt	333.527344 -862.694458 384.389740	-0.996 0.017 0.882
item_box_buckshot_ttt	329.784210 -817.268494 384.437073	-0.595 -0.007 0.528
item_ammo_357_ttt	15.461900 1527.180054 996.276001	0.000 0.000 0.000
item_ammo_357_ttt	17.206400 1548.869995 996.276001	0.000 0.000 0.000
item_ammo_357_ttt	38.044998 -428.213013 900.276001	0.000 0.000 0.000
item_ammo_357_ttt	-125.058998 -1960.859985 1216.280029	0.000 0.000 0.000
item_ammo_357_ttt	-123.314003 -1939.170044 1216.280029	0.000 0.000 0.000
item_ammo_357_ttt	242.927002 -1987.900024 992.276001	0.000 0.000 0.000
item_ammo_357_ttt	244.671005 -1966.209961 992.276001	0.000 0.000 0.000
item_ammo_357_ttt	-452.951996 1857.729980 480.276001	0.000 0.000 0.000
item_ammo_357_ttt	-451.208008 1879.420044 480.276001	0.000 0.000 0.000
item_ammo_357_ttt	-360.388763 -1963.825195 992.353577	0.454 0.059 0.047
item_ammo_357_ttt	-377.641449 -1960.617310 992.405579	0.465 0.054 0.026
item_ammo_357_ttt	-662.859436 -2156.385742 992.386597	0.461 0.055 0.034
item_ammo_357_ttt	-654.406067 -2175.870117 992.417908	0.467 0.053 0.021
item_ammo_357_ttt	679.131104 -2180.784668 992.398315	0.463 0.054 0.029
item_ammo_357_ttt	662.191895 -2179.348877 992.350037	0.454 0.061 0.048
item_ammo_357_ttt	-37.173065 -402.578644 900.353638	0.455 0.059 0.047
item_ammo_357_ttt	41.452377 -400.947601 900.368469	0.457 0.057 0.041
ttt_random_ammo	352.179688 992.816406 386.747650	-0.352 35.222 90.018
ttt_random_ammo	358.418945 972.537598 392.158783	-0.298 -0.451 -125.907
ttt_random_ammo	404.023773 1018.526733 448.814209	1.510 -0.073 0.981
ttt_random_ammo	370.742676 980.183044 387.616852	-88.920 77.281 90.216
ttt_random_ammo	361.536774 995.323486 386.674652	-0.926 -155.018 -89.992
ttt_random_ammo	477.790955 993.730530 384.382507	0.215 0.001 0.202
ttt_random_ammo	461.062469 1021.443726 384.442108	1.180 0.030 1.434
ttt_random_ammo	454.922516 1075.768188 384.339996	0.047 0.000 -0.023
ttt_random_ammo	422.332031 1048.582886 384.392944	0.722 0.007 0.825
ttt_random_ammo	323.489807 1079.387451 384.394958	1.433 0.024 1.690
ttt_random_ammo	350.563629 1071.202637 384.349060	0.051 0.000 -0.014
ttt_random_ammo	357.784027 1133.858154 384.379425	0.171 0.001 0.147
ttt_random_ammo	418.127441 1115.846069 392.093231	54.876 -109.386 179.104
ttt_random_ammo	438.560760 1112.589600 384.372772	0.110 0.000 0.069
ttt_random_ammo	359.596527 1104.368286 384.337646	0.047 0.000 -0.025
ttt_random_ammo	377.285828 1065.059326 384.330383	0.047 0.000 -0.029
ttt_random_ammo	417.871490 1061.018555 384.427582	1.475 0.035 1.789
ttt_random_ammo	395.562073 1092.381470 384.438782	0.014 -13.334 1.471
ttt_random_ammo	394.468292 1047.078979 384.367310	0.084 0.000 0.035
ttt_random_ammo	370.080322 1017.171265 432.735260	-0.797 0.008 -0.922
ttt_random_ammo	345.541504 1023.339172 435.036743	-0.896 51.403 90.005
ttt_random_ammo	185.054825 1029.366211 424.866913	0.426 -0.596 0.255
ttt_random_ammo	166.717026 1029.823975 424.802917	0.359 0.012 0.540
ttt_random_ammo	137.917892 1081.750122 465.255890	-0.338 2.775 -0.465
ttt_random_ammo	13.101645 1184.833252 474.153412	0.334 -0.459 -5.035
ttt_random_ammo	-42.812000 1192.553833 433.307312	-0.767 0.031 -1.619
ttt_random_ammo	-52.058514 835.227051 424.798828	0.714 -1.153 0.672
ttt_random_ammo	-62.290539 859.223328 424.716583	-0.358 0.050 -0.596
