# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_westwood_v4
# Exported by: amber
setting:	replacespawns 1
weapon_ttt_smokegrenade	853.228149 1221.665649 -127.826080	-0.604 -1.348 -0.352
weapon_ttt_smokegrenade	855.011597 1204.739624 -127.858032	-0.944 -1.299 -0.550
weapon_ttt_smokegrenade	-43.461308 277.805664 168.188461	-0.418 -1.751 -0.633
weapon_ttt_smokegrenade	-38.979427 205.935349 168.126114	-1.054 -1.489 -1.574
weapon_ttt_smokegrenade	-44.573376 207.825119 169.479630	19.101 54.792 -89.269
weapon_ttt_smokegrenade	-37.897320 30.232489 168.151962	-0.780 -1.675 -1.190
weapon_ttt_smokegrenade	-42.283894 -29.322727 168.136536	-0.933 -1.616 -1.425
weapon_ttt_smokegrenade	-71.703506 507.967621 80.118034	-1.117 -1.329 -1.708
weapon_ttt_smokegrenade	-73.294685 666.460083 80.121361	-1.084 -1.481 -1.657
weapon_ttt_smokegrenade	-15.534495 1373.117065 136.145874	-0.841 -1.649 -1.283
weapon_ttt_smokegrenade	-52.016850 -432.740753 140.157608	-0.724 -1.695 -1.104
weapon_ttt_smokegrenade	124.310013 -622.260132 130.127701	-1.021 -1.553 -1.560
weapon_ttt_smokegrenade	833.551453 -617.979492 128.153122	-0.772 -1.674 -1.170
weapon_ttt_smokegrenade	1166.517212 -609.723999 184.149567	-0.810 -1.678 -1.223
weapon_ttt_smokegrenade	2079.314941 -554.572693 192.144592	-0.859 -1.651 -1.299
weapon_ttt_smokegrenade	2329.428711 -565.701355 192.124573	-1.052 -1.485 -1.608
weapon_ttt_smokegrenade	1389.036621 31.621645 78.174896	-3.463 14.846 49.510
weapon_ttt_smokegrenade	1388.567627 33.465954 77.189583	21.277 5.385 -25.875
weapon_ttt_smokegrenade	1385.810425 32.766438 81.143517	52.278 33.123 49.551
weapon_ttt_smokegrenade	2483.390137 140.469177 136.141998	-0.879 -1.638 -1.342
weapon_ttt_smokegrenade	1489.065186 -608.156250 184.126144	-1.036 -1.489 -1.584
weapon_ttt_smokegrenade	1330.338013 43.371910 192.112854	-1.177 -1.480 -1.782
weapon_ttt_smokegrenade	1021.226196 46.527321 192.114624	-1.151 -1.442 -1.760
weapon_ttt_smokegrenade	-22.776167 1131.101563 136.165817	-0.643 -1.723 -0.979
ttt_random_weapon	755.628113 764.034790 29.130749	9.122 -12.970 -98.173	auto_ammo 2
ttt_random_weapon	-5.741925 656.178223 -106.867661	9.133 -13.009 -98.420	auto_ammo 2
ttt_random_weapon	-11.444459 392.806152 -106.871033	9.159 -12.544 -98.093	auto_ammo 2
ttt_random_weapon	37.372997 262.326050 -106.868774	9.125 -12.981 -98.243	auto_ammo 2
ttt_random_weapon	38.086983 11.028557 -106.867035	9.134 -13.021 -98.506	auto_ammo 2
ttt_random_weapon	-93.098015 379.651398 85.133934	9.140 -13.043 -98.660	auto_ammo 2
ttt_random_weapon	-312.569824 382.948822 85.129158	9.112 -12.933 -97.942	auto_ammo 2
ttt_random_weapon	-333.533752 138.047302 173.131363	9.127 -12.986 -98.271	auto_ammo 2
ttt_random_weapon	482.093567 507.454041 2.132800	9.135 -13.018 -98.486	auto_ammo 2
ttt_random_weapon	484.446625 102.890846 2.131909	9.120 -12.990 -98.311	auto_ammo 2
ttt_random_weapon	450.165222 508.040161 -114.866249	9.140 -13.041 -98.637	auto_ammo 2
ttt_random_weapon	778.228821 77.553589 -114.875038	9.244 -10.909 -97.928	auto_ammo 2
ttt_random_weapon	754.362427 476.600189 -77.936386	9.011 -11.962 -98.720	auto_ammo 2
ttt_random_weapon	654.522766 369.817780 -78.786232	10.212 -5.470 -68.910	auto_ammo 2
ttt_random_weapon	521.081787 231.428040 -77.930481	9.074 -10.573 -98.388	auto_ammo 2
ttt_random_weapon	722.855530 117.163895 33.427265	9.195 -10.322 -98.196	auto_ammo 2
ttt_random_weapon	731.927734 232.833099 2.129434	9.115 -12.941 -97.985	auto_ammo 2
ttt_random_weapon	724.614563 319.216797 2.127486	9.104 -12.897 -97.715	auto_ammo 2
ttt_random_weapon	448.354706 299.727112 -114.866310	9.139 -13.038 -98.623	auto_ammo 2
ttt_random_weapon	894.636963 685.927063 -74.871666	9.128 -30.507 -97.902	auto_ammo 2
ttt_random_weapon	-266.170135 -816.955139 145.132736	9.140 -13.022 -98.498	auto_ammo 2
ttt_random_weapon	-310.906921 -718.855347 145.132172	9.136 -13.009 -98.407	auto_ammo 2
ttt_random_weapon	168.950592 -828.119568 135.128998	9.114 -12.933 -97.927	auto_ammo 2
ttt_random_weapon	437.618073 -856.296143 -26.867609	9.131 -13.008 -98.416	auto_ammo 2
ttt_random_weapon	310.677765 -323.469360 -58.869408	9.121 -12.967 -98.151	auto_ammo 2
ttt_random_weapon	308.668671 -259.824341 -58.867783	9.131 -13.005 -98.396	auto_ammo 2
ttt_random_weapon	331.092590 -321.590118 -122.869682	9.109 -11.174 -98.071	auto_ammo 2
ttt_random_weapon	323.716034 -270.516296 -122.871193	9.104 -11.143 -97.870	auto_ammo 2
ttt_random_weapon	-264.246002 258.675507 37.131641	9.103 -15.164 -98.211	auto_ammo 2
ttt_random_weapon	-310.605743 233.102493 37.128731	9.111 -12.925 -97.885	auto_ammo 2
ttt_random_weapon	-144.570572 -290.905029 -74.923050	8.991 -34.432 -98.665	auto_ammo 2
ttt_random_weapon	-97.335564 -278.027222 -26.875492	9.248 -28.469 -97.892	auto_ammo 2
ttt_random_weapon	196.073502 -546.411316 -106.867554	9.134 -13.011 -98.436	auto_ammo 2
ttt_random_weapon	276.803284 -621.450439 -106.862160	9.097 -12.368 -99.024	auto_ammo 2
ttt_random_weapon	669.567017 -632.029907 -106.866722	9.134 -13.028 -98.547	auto_ammo 2
ttt_random_weapon	736.589905 -542.788757 -106.867249	9.133 -13.016 -98.474	auto_ammo 2
ttt_random_weapon	963.770325 -527.202393 -106.872231	9.105 -12.904 -97.753	auto_ammo 2
ttt_random_weapon	1135.191895 -538.647095 -106.866302	9.139 -13.038 -98.623	auto_ammo 2
ttt_random_weapon	1460.058716 -534.677429 -106.871429	9.107 -12.919 -97.852	auto_ammo 2
ttt_random_weapon	999.515747 -44.895180 -106.869598	9.135 -13.008 -98.179	auto_ammo 2
ttt_random_weapon	1325.563232 -52.948360 -106.866875	9.136 -13.026 -98.535	auto_ammo 2
ttt_random_weapon	-122.436646 70.826958 37.132362	9.131 -13.007 -98.414	auto_ammo 2
ttt_random_weapon	-76.004868 262.976257 -106.869926	9.119 -12.956 -98.079	auto_ammo 2
ttt_random_weapon	-298.975525 -815.230286 -106.868050	9.130 -12.999 -98.354	auto_ammo 2
ttt_random_weapon	-87.312439 -789.649231 68.643394	9.009 -12.951 -98.412	auto_ammo 2
ttt_random_weapon	-60.657730 -368.922058 29.127398	9.103 -12.896 -97.703	auto_ammo 2
ttt_random_weapon	-290.267700 -425.088409 68.626060	9.166 -11.071 -98.203	auto_ammo 2
ttt_random_weapon	-52.222031 -414.019501 29.130684	9.122 -12.969 -98.163	auto_ammo 2
ttt_random_weapon	-47.943943 -459.075684 29.130468	9.120 -12.964 -98.131	auto_ammo 2
ttt_random_weapon	-47.610909 -490.288300 29.129122	9.113 -12.933 -97.940	auto_ammo 2
ttt_random_weapon	-43.112999 -524.820923 29.129284	9.114 -12.937 -97.962	auto_ammo 2
ttt_random_weapon	2146.743164 -814.445801 197.128540	9.107 -12.918 -97.850	auto_ammo 2
ttt_random_weapon	1453.920410 -819.266663 189.131210	9.128 -12.984 -98.254	auto_ammo 2
ttt_random_weapon	1142.429810 -821.518066 189.133759	9.104 -10.050 -98.489	auto_ammo 2
ttt_random_weapon	785.434204 -834.742432 133.131302	9.127 -12.985 -98.260	auto_ammo 2
ttt_random_weapon	1349.901001 316.812408 197.132660	9.133 -13.014 -98.459	auto_ammo 2
ttt_random_weapon	1494.101318 333.150635 -122.866089	9.073 -12.309 -98.380	auto_ammo 2
ttt_random_weapon	2031.299561 190.206879 -122.890472	9.127 -11.265 -98.339	auto_ammo 2
ttt_random_weapon	2494.907471 -832.642212 -106.869461	9.121 -12.965 -98.142	auto_ammo 2
ttt_random_weapon	2493.118652 -445.153656 -106.871666	9.109 -12.917 -97.833	auto_ammo 2
ttt_random_weapon	2315.031494 -433.997681 -106.870895	9.113 -12.933 -97.938	auto_ammo 2
ttt_random_weapon	1865.795166 -451.560577 -106.868721	9.125 -12.983 -98.252	auto_ammo 2
ttt_random_weapon	1851.063110 -661.052246 -106.870811	9.114 -12.936 -97.951	auto_ammo 2
ttt_random_weapon	1557.532104 -599.408813 -26.876036	9.177 -15.926 -97.572	auto_ammo 2
ttt_random_weapon	1913.637085 -27.451145 -122.868614	9.113 -11.197 -98.217	auto_ammo 2
ttt_random_weapon	1161.026245 190.293900 -106.863457	9.069 -13.045 -98.715	auto_ammo 2
ttt_random_weapon	1225.675537 193.661728 -106.867599	9.132 -13.009 -98.425	auto_ammo 2
ttt_random_weapon	1031.895142 57.293827 -106.868393	9.127 -12.990 -98.302	auto_ammo 2
ttt_random_weapon	1370.583618 343.733093 -106.868233	9.129 -12.994 -98.327	auto_ammo 2
ttt_random_weapon	1274.884766 296.576111 -106.868225	9.128 -12.994 -98.328	auto_ammo 2
ttt_random_weapon	989.492920 315.214447 69.134697	9.134 -12.443 -98.738	auto_ammo 2
ttt_random_weapon	1179.490112 56.552444 69.132576	9.132 -13.012 -98.445	auto_ammo 2
ttt_random_weapon	1305.928223 48.486755 69.133125	9.136 -13.026 -98.535	auto_ammo 2
ttt_random_weapon	1064.492188 62.819244 69.131874	9.120 -12.990 -98.309	auto_ammo 2
ttt_random_weapon	981.254211 54.471878 69.132957	9.083 -12.529 -98.299	auto_ammo 2
ttt_random_weapon	1059.393677 334.141693 197.130203	9.119 -12.957 -98.092	auto_ammo 2
ttt_random_weapon	1477.544312 111.131531 -74.863380	9.070 -13.056 -98.733	auto_ammo 2
ttt_random_weapon	1614.169922 13.018199 -27.701431	10.510 -8.059 -69.869	auto_ammo 2
ttt_random_weapon	1508.562500 206.573349 -26.872963	9.162 -12.942 -97.873	auto_ammo 2
ttt_random_weapon	1452.353394 229.143082 -74.934479	9.155 -32.598 -97.445	auto_ammo 2
ttt_random_weapon	1071.616211 -40.050243 -106.866722	9.138 -13.031 -98.564	auto_ammo 2
ttt_random_weapon	1383.921265 220.097412 69.132324	9.134 -13.009 -98.419	auto_ammo 2
ttt_random_weapon	1695.701050 111.429230 -633.328552	14.359 -3.497 -55.636	auto_ammo 2
ttt_random_weapon	1704.050537 657.088562 -722.118591	7.393 -5.044 -60.243	auto_ammo 2
ttt_random_weapon	1690.214478 1195.760864 -722.119080	7.417 -5.045 -60.245	auto_ammo 2
ttt_random_weapon	1315.518677 1170.494019 -722.118347	7.380 -5.044 -60.242	auto_ammo 2
ttt_random_weapon	1076.804199 1352.360229 -722.118469	7.388 -5.044 -60.243	auto_ammo 2
ttt_random_weapon	686.061462 1350.335327 -722.119263	7.531 -5.050 -60.292	auto_ammo 2
ttt_random_weapon	137.918564 1320.608643 -664.651245	0.764 -6.685 -64.221	auto_ammo 2
ttt_random_weapon	-13.803880 1410.304932 -675.964722	1.688 -5.553 -52.595	auto_ammo 2
ttt_random_weapon	-177.704025 1553.457520 -722.117493	7.337 -5.043 -60.237	auto_ammo 2
ttt_random_weapon	-376.595123 1569.013428 -722.118347	7.380 -5.044 -60.242	auto_ammo 2
ttt_random_weapon	-1107.106934 1561.962280 -722.119629	7.446 -5.046 -60.248	auto_ammo 2
ttt_random_weapon	-1294.671509 1573.278931 -722.118469	7.388 -5.044 -60.242	auto_ammo 2
ttt_random_weapon	-1415.329834 1528.373535 -722.120361	7.496 -5.051 -60.258	auto_ammo 2
ttt_random_weapon	-1676.940430 1326.543701 -721.723694	10.292 -6.573 -69.322	auto_ammo 2
ttt_random_weapon	-2137.562500 1273.320313 -722.118286	7.378 -5.044 -60.241	auto_ammo 2
ttt_random_weapon	-1984.302612 1142.204712 -579.880676	9.315 -11.235 -97.538	auto_ammo 2
ttt_random_weapon	-1989.303345 1080.748413 -580.711243	10.391 -5.938 -69.610	auto_ammo 2
ttt_random_weapon	-1978.465088 1046.533936 -577.870361	4.837 -10.833 -104.115	auto_ammo 2
ttt_random_weapon	-1560.244629 1051.030762 -558.142334	-2.351 -8.506 -133.168	auto_ammo 2
ttt_random_weapon	-1665.457397 1125.644165 -570.322754	10.059 -8.790 -98.161	auto_ammo 2
ttt_random_weapon	-2558.481445 287.371216 -742.558289	-8.389 -47.318 119.014	auto_ammo 2
ttt_random_weapon	-2318.615723 279.682983 -739.778137	-3.029 -9.122 114.723	auto_ammo 2
ttt_random_weapon	-2147.791748 -224.866791 -672.802002	9.366 -10.409 -97.614	auto_ammo 2
ttt_random_weapon	-2137.388672 -69.471336 -675.683044	14.674 -5.810 -53.920	auto_ammo 2
ttt_random_weapon	-2155.133789 -130.248734 -677.972656	3.913 -26.875 120.233	auto_ammo 2
ttt_random_weapon	-1061.136353 -403.404175 -583.149536	-18.243 14.126 115.668	auto_ammo 2
ttt_random_weapon	-1110.171631 -462.449310 -593.460205	-20.618 -0.821 112.312	auto_ammo 2
ttt_random_weapon	-1107.081421 -1000.733398 -630.865906	9.087 -13.130 -98.461	auto_ammo 2
ttt_random_weapon	-1130.773682 -1053.568604 -630.871948	9.071 -12.975 -98.448	auto_ammo 2
ttt_random_weapon	-1139.289429 -1291.860474 -632.124268	7.911 -11.238 -60.376	auto_ammo 2
ttt_random_weapon	-980.278809 29.789902 -541.127014	-16.905 -0.171 134.813	auto_ammo 2
ttt_random_weapon	-827.907043 -318.383179 -597.508301	4.640 -28.240 103.443	auto_ammo 2
ttt_random_weapon	362.405090 -187.515869 -551.507019	0.797 -17.625 -155.282	auto_ammo 2
ttt_random_weapon	430.517365 -163.558746 -550.188782	-0.541 -5.100 -102.724	auto_ammo 2
ttt_random_weapon	-9.168929 530.675049 -601.169250	7.626 -26.237 110.115	auto_ammo 2
ttt_random_weapon	771.812561 837.338684 -588.200012	-1.368 -5.606 -60.518	auto_ammo 2
ttt_random_weapon	793.288391 619.651978 -599.729065	-7.877 -10.090 -31.748	auto_ammo 2
ttt_random_weapon	519.114075 1438.805786 -363.092804	0.074 -25.109 125.618	auto_ammo 2
ttt_random_weapon	528.753296 1534.738281 -362.870422	9.108 -11.159 -97.972	auto_ammo 2
ttt_random_weapon	858.807129 1435.453003 -362.868805	9.113 -11.192 -98.190	auto_ammo 2
ttt_random_weapon	948.654175 -720.132324 -583.781494	10.750 -8.873 -97.578	auto_ammo 2
ttt_random_weapon	534.772888 -804.700623 -623.812500	-19.657 -114.878 129.880	auto_ammo 2
ttt_random_weapon	1096.359009 -632.705505 -106.889252	9.125 -11.243 -98.191	auto_ammo 2
ttt_random_weapon	1096.695068 -701.239685 -106.868889	9.111 -11.191 -98.176	auto_ammo 2
ttt_random_weapon	1323.321777 -865.778870 -78.002602	9.166 -16.015 -97.864	auto_ammo 2
ttt_random_weapon	775.788147 -658.045105 13.131869	9.132 -13.000 -98.356	auto_ammo 2
ttt_random_weapon	936.555847 -641.858398 13.130915	9.126 -12.977 -98.208	auto_ammo 2
ttt_random_weapon	1367.204468 -772.217712 29.128756	9.111 -12.926 -97.889	auto_ammo 2
ttt_random_weapon	1201.366699 -774.706421 29.132227	9.131 -13.005 -98.397	auto_ammo 2
ttt_random_weapon	1494.271729 -794.302368 28.296471	10.470 -27.186 -69.893	auto_ammo 2
ttt_random_weapon	941.207275 -785.854187 -75.574020	9.155 -10.282 -97.918	auto_ammo 2
ttt_random_weapon	786.932739 -845.702942 -106.865364	9.124 -11.270 -98.691	auto_ammo 2
ttt_random_weapon	1433.221802 -538.692871 29.130026	9.117 -12.953 -98.065	auto_ammo 2
ttt_random_weapon	1271.054199 -547.945374 29.129736	9.105 -12.987 -97.985	auto_ammo 2
ttt_random_weapon	915.379822 -551.236023 29.128693	9.110 -12.923 -97.879	auto_ammo 2
ttt_random_weapon	738.052063 -545.352478 29.128738	9.110 -12.925 -97.885	auto_ammo 2
ttt_random_weapon	2201.218994 -393.379395 24.966927	-1.443 -14.089 98.502	auto_ammo 2
ttt_random_weapon	2141.494141 -393.691345 24.863708	-7.521 -20.927 106.296	auto_ammo 2
ttt_random_weapon	1553.353882 137.529205 -629.763245	7.080 -2.249 -57.755	auto_ammo 2
ttt_random_weapon	1711.557617 220.658066 -638.731934	-4.355 -25.484 112.343	auto_ammo 2
ttt_random_weapon	1569.593018 249.427917 -636.351135	-0.688 -19.343 -155.530	auto_ammo 2
item_ammo_smg1_ttt	888.013855 1193.504761 -127.495781	-0.661 0.011 -0.501
item_ammo_smg1_ttt	863.258484 1181.606323 -127.588776	0.266 -0.005 0.166
item_ammo_smg1_ttt	-132.689255 -676.881470 -71.955383	-0.012 0.059 0.012
item_ammo_smg1_ttt	-129.176926 -635.298828 -72.045029	-0.572 -0.004 -0.436
weapon_zm_molotov	867.052979 1873.192261 -127.870804	-1.080 -1.264 -0.629
weapon_zm_molotov	854.410339 1434.986206 25.155405	-0.746 -1.696 -1.137
weapon_zm_molotov	1209.728394 346.657684 82.467377	-0.422 -1.762 -0.314
weapon_zm_molotov	1252.791504 349.544525 82.418297	-0.754 -1.648 -0.560
weapon_zm_molotov	1200.599609 282.169891 64.139297	-0.906 -1.607 -1.383
weapon_zm_molotov	1146.475830 267.413788 64.159760	-0.703 -1.707 -1.071
weapon_zm_molotov	1146.009399 345.876587 64.143303	-0.866 -1.650 -1.322
weapon_zm_molotov	1176.151733 292.456879 64.168640	-0.615 -1.722 -0.936
weapon_zm_molotov	1330.273682 363.144592 64.170624	-1.268 -1.302 -1.798
weapon_zm_molotov	1310.865479 335.945526 64.149582	-0.804 -1.678 -1.226
weapon_zm_molotov	1250.663696 272.668640 64.186546	-0.437 -1.750 -0.663
weapon_zm_molotov	1314.847656 262.446655 64.158691	-0.713 -1.696 -1.087
weapon_zm_molotov	1373.293701 312.449677 64.148361	-0.816 -1.671 -1.245
weapon_zm_molotov	1397.941528 345.767792 62.612923	-0.783 -1.610 -0.616
weapon_zm_molotov	1401.189087 278.045349 64.112862	-1.168 -1.482 -1.787
weapon_zm_molotov	1316.617188 299.822357 64.129227	-1.006 -1.579 -1.537
weapon_zm_molotov	1229.670654 337.484924 82.437950	-0.621 -1.722 -0.462
weapon_zm_molotov	1283.593872 286.123077 64.130730	-0.991 -1.578 -1.514
weapon_zm_molotov	1228.045410 300.571350 64.136528	-0.933 -1.615 -1.425
weapon_zm_molotov	1345.665405 324.119263 64.139297	-0.906 -1.607 -1.383
weapon_zm_molotov	1349.648926 272.668030 64.129227	-1.006 -1.579 -1.537
weapon_zm_molotov	232.231049 -875.574463 0.167329	-2.789 -1.134 -0.977
weapon_zm_molotov	233.235336 -868.548523 0.166769	-0.633 -1.723 -0.964
weapon_zm_molotov	224.250931 -874.743164 0.114613	-1.151 -1.442 -1.760
weapon_zm_molotov	-328.915039 -846.288513 140.148361	-0.816 -1.671 -1.245
weapon_zm_molotov	548.502930 -737.765198 -79.873856	-1.036 -1.489 -1.584
weapon_zm_molotov	-153.013275 -244.791077 -127.855423	-0.916 -1.307 -0.534
weapon_zm_molotov	-304.794159 879.544250 -127.860725	-0.973 -1.300 -0.567
weapon_zm_molotov	901.063477 629.560791 -127.860725	-0.973 -1.300 -0.567
item_box_buckshot_ttt	864.260132 1478.897705 25.377386	0.319 0.003 -0.177
item_box_buckshot_ttt	843.184937 1488.753540 25.373346	0.754 -0.021 -0.528
item_box_buckshot_ttt	873.890137 1844.522827 -127.601929	-0.919 -0.010 0.815
item_box_buckshot_ttt	862.930908 1819.372925 -127.590302	-0.800 -0.005 0.711
item_box_buckshot_ttt	-274.414490 -758.916138 64.047295	-0.141 -0.016 -0.024
item_box_buckshot_ttt	-275.631348 -793.486267 64.018356	-0.395 -0.005 -0.220
item_box_buckshot_ttt	2425.863037 220.555511 -127.616669	-0.619 -0.005 0.587
item_box_buckshot_ttt	2400.673096 217.203506 -127.621933	0.282 0.003 -0.141
item_box_buckshot_ttt	2479.199219 177.979324 -127.596535	-0.849 -0.010 0.754
item_box_buckshot_ttt	2480.716797 155.671783 -127.598007	-0.860 -0.011 0.764
item_box_buckshot_ttt	2433.294678 110.604103 -127.607002	-0.964 -0.003 0.854
item_box_buckshot_ttt	2402.856201 113.084198 -127.555656	-0.530 -0.006 0.471
item_box_buckshot_ttt	2354.435791 177.483582 -127.608696	-0.979 0.004 0.867
item_box_buckshot_ttt	2355.615723 153.371170 -127.617744	-0.386 0.001 0.397
item_box_buckshot_ttt	1591.854492 87.335686 -103.534203	-0.367 -0.006 0.326
item_box_buckshot_ttt	1578.846680 86.101814 -103.624153	0.664 -0.000 -0.449
ttt_random_ammo	1698.055664 261.532257 -77.420135	0.092 0.000 0.049
ttt_random_ammo	1714.918335 258.931427 -77.421867	0.084 0.000 0.037
ttt_random_ammo	1740.596558 257.311890 -77.454399	0.045 0.000 -0.027
ttt_random_ammo	1789.386963 257.967102 -77.421875	0.084 0.000 0.038
ttt_random_ammo	1763.013184 259.813629 -77.429192	0.063 0.000 0.008
ttt_random_ammo	1795.820313 258.635468 -45.410152	0.046 -0.000 0.024
ttt_random_ammo	1782.421021 255.867111 -45.304199	1.033 0.028 1.250
ttt_random_ammo	1760.327637 258.500122 -45.374905	0.111 0.000 0.074
ttt_random_ammo	1740.576904 259.603851 -45.408001	0.046 0.000 -0.024
ttt_random_ammo	1712.436646 256.842407 -45.397247	0.050 0.000 -0.012
ttt_random_ammo	1696.018311 259.114746 -45.419628	0.045 0.000 -0.030
ttt_random_ammo	1561.992798 356.788666 -77.466393	0.046 0.000 -0.032
ttt_random_ammo	1585.778809 352.700775 -77.415131	0.124 0.000 0.090
ttt_random_ammo	1607.547974 353.196777 -77.449852	0.046 0.000 -0.024
ttt_random_ammo	1625.126709 352.193085 -77.396889	1.142 0.016 1.337
ttt_random_ammo	1658.989990 352.728607 -77.468903	0.046 0.000 -0.033
ttt_random_ammo	1655.922363 350.343292 -45.359619	0.422 0.003 0.460
ttt_random_ammo	1620.663452 355.059906 -45.378273	0.091 0.000 0.047
ttt_random_ammo	1573.737915 352.322205 -45.424538	0.046 0.000 -0.032
ttt_random_ammo	1665.458984 56.841759 -77.437050	0.052 0.000 -0.009
ttt_random_ammo	1618.792236 55.196022 -77.425461	0.072 0.000 0.021
ttt_random_ammo	1576.785400 58.177570 -77.463913	0.045 0.000 -0.031
ttt_random_ammo	1570.330322 47.861965 -45.383610	0.072 0.000 0.021
ttt_random_ammo	1607.034058 57.110550 -45.424538	0.046 0.000 -0.032
ttt_random_ammo	1625.536743 53.729065 -45.429596	0.046 0.000 -0.034
ttt_random_ammo	1649.048828 56.056175 -45.405781	0.046 0.000 -0.022
ttt_random_ammo	1665.226807 57.153027 -45.358669	0.492 0.004 0.545
ttt_random_ammo	1665.778076 61.283520 -14.425441	0.045 0.000 -0.028
ttt_random_ammo	1640.722900 56.858532 -14.416352	0.046 0.000 -0.022
ttt_random_ammo	1620.374268 58.571083 -14.388851	0.092 0.000 0.048
ttt_random_ammo	1572.749756 56.536278 -14.420827	0.045 0.000 -0.025
