# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_airbus_b3
# Exported by: amber
setting:	replacespawns 0
weapon_ttt_smokegrenade	-2015.169189 353.060181 192.121323	-1.164 -1.249 -0.678
weapon_ttt_smokegrenade	-2145.550049 336.413605 194.257477	-8.548 30.048 90.216
weapon_ttt_smokegrenade	-2219.936279 339.538361 192.117996	-1.200 -1.252 -0.699
weapon_ttt_smokegrenade	-2189.903564 163.049484 192.105545	-1.332 -1.209 -0.776
weapon_ttt_smokegrenade	-1975.129395 173.076920 192.121323	-1.164 -1.249 -0.678
weapon_ttt_smokegrenade	-1858.784302 202.517441 192.158691	-0.766 -1.330 -0.446
weapon_ttt_smokegrenade	1311.432617 242.515732 0.095803	-1.436 -1.219 -0.837
weapon_ttt_smokegrenade	1300.902710 266.736420 0.139277	-0.973 -1.300 -0.567
weapon_ttt_smokegrenade	573.205444 298.980042 -191.804199	-0.371 -1.366 -0.216
weapon_ttt_smokegrenade	588.605591 296.530914 -191.900223	-1.394 -1.219 -0.812
weapon_ttt_smokegrenade	585.312439 325.478607 -191.862106	-0.987 -1.295 -0.575
item_ammo_pistol_ttt	-1708.557129 289.319916 208.328186	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-1701.814819 238.996201 208.398911	-0.234 0.061 -0.019
item_ammo_pistol_ttt	-1699.863770 276.456543 208.389587	0.111 -0.026 0.018
item_ammo_pistol_ttt	-1602.745972 388.953094 208.435638	1.080 0.187 -0.061
item_ammo_pistol_ttt	-1580.448730 390.733582 208.328186	0.149 0.018 -0.045
item_ammo_pistol_ttt	-1556.181396 385.923920 208.419983	0.942 0.034 0.231
item_ammo_pistol_ttt	-1533.105591 383.074890 208.413620	-0.074 -0.020 -0.022
item_ammo_pistol_ttt	-1540.752930 389.522949 208.385315	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	-1568.370972 389.056885 208.431885	-0.058 -0.020 -0.018
item_ammo_pistol_ttt	-1592.957642 387.761597 208.425552	-0.064 -0.020 -0.019
item_ammo_pistol_ttt	-682.780334 408.667969 0.435225	0.173 -0.035 0.019
item_ammo_pistol_ttt	-681.538879 445.165680 0.325570	-0.152 -0.018 -0.046
weapon_ttt_m16	1527.211182 266.843811 0.875754	1.929 -3.117 83.986
weapon_ttt_m16	-681.586792 429.088440 0.860746	2.152 2.308 84.007
weapon_ttt_confgrenade	-1856.113159 172.700562 194.079895	-35.809 -59.021 -89.717
weapon_ttt_confgrenade	-1952.291626 164.427063 194.027786	-36.928 -58.396 -88.979
weapon_ttt_confgrenade	-2035.156982 157.682724 194.007858	-36.794 -58.636 -88.559
weapon_ttt_confgrenade	-2145.998535 154.515442 194.139465	-37.654 -56.969 -91.385
weapon_ttt_confgrenade	-2310.477295 170.545685 194.022675	-36.502 -58.518 -88.777
weapon_ttt_confgrenade	-2288.987793 336.396820 193.981750	-36.618 -58.932 -88.013
weapon_ttt_confgrenade	-2171.886719 367.689606 194.023926	-36.902 -58.439 -88.898
weapon_ttt_confgrenade	-2045.139038 366.551666 194.137375	-37.641 -56.997 -91.339
weapon_ttt_confgrenade	-1934.702637 358.766205 194.063217	-37.162 -57.959 -89.733
weapon_zm_shotgun	554.117310 277.546021 -190.879028	-0.398 -8.950 -84.362
weapon_zm_sledge	-2163.785889 341.751099 -90.191551	18.634 -0.374 2.992
weapon_zm_sledge	-1345.720093 341.008301 133.808456	18.634 -0.366 2.992
weapon_zm_sledge	-1553.167236 348.441925 133.808456	18.634 -0.364 2.992
weapon_zm_revolver	-202.394394 390.898102 208.970749	2.124 -18.678 -85.579
weapon_zm_revolver	-2414.366211 252.311142 224.910843	2.752 -16.664 -84.499
weapon_zm_mac10	-1726.923584 168.917938 1.264442	0.166 -52.223 -88.265
