# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_woodedwidow
# Exported by: Believing Heart
setting:	replacespawns 1
weapon_ttt_smokegrenade	-500.771820 -344.603455 8.261536	-0.824 -1.509 -0.451
weapon_ttt_smokegrenade	-471.131012 -132.546173 8.245442	-1.413 -1.484 -0.773
weapon_ttt_smokegrenade	-2421.208740 -525.932129 9.381665	-3.419 -0.732 -1.672
weapon_ttt_smokegrenade	-2443.044189 -373.800323 14.660677	-3.462 0.177 2.759
weapon_ttt_smokegrenade	-2136.004395 1053.089355 0.981702	16.100 -58.642 -94.141
weapon_ttt_smokegrenade	67.414375 1451.613647 12.394269	26.311 23.142 101.425
weapon_ttt_smokegrenade	75.830956 1345.255737 0.826464	-4.917 -3.766 -2.834
weapon_ttt_smokegrenade	1480.143066 1422.317139 14.586898	21.591 23.370 99.817
weapon_ttt_smokegrenade	1371.823975 1305.942505 3.610164	24.252 158.157 87.189
weapon_ttt_smokegrenade	1797.958130 1102.195923 136.177795	-1.113 -1.532 -1.133
weapon_ttt_smokegrenade	1874.030518 1179.158691 136.176193	-1.147 -1.529 -1.167
weapon_ttt_smokegrenade	1301.457764 105.689537 0.170377	-1.168 -1.185 -1.873
weapon_ttt_smokegrenade	1279.856934 206.878006 0.180222	-0.634 -0.455 -0.543
weapon_ttt_smokegrenade	556.791931 251.024185 2.728666	22.329 -52.265 -92.955
ttt_random_weapon	156.279556 192.495178 68.165878	9.111 -11.252 -98.480	auto_ammo 2
ttt_random_weapon	349.124725 248.053284 86.481911	7.184 -7.778 -115.825	auto_ammo 2
ttt_random_weapon	1089.689819 80.872307 51.593582	-13.376 -9.562 -60.862	auto_ammo 2
ttt_random_weapon	1088.204224 125.610779 51.514675	-11.452 -10.304 -60.409	auto_ammo 2
ttt_random_weapon	1086.357300 106.594994 51.458660	-9.589 -9.553 -60.359	auto_ammo 2
ttt_random_weapon	1916.640381 -248.737518 11.308908	11.636 -8.933 -100.333	auto_ammo 2
ttt_random_weapon	-7.046166 -283.530365 30.522955	8.931 -15.285 -98.305	auto_ammo 2
ttt_random_weapon	1773.150879 1008.970520 37.441654	9.129 -12.485 -98.525	auto_ammo 2
ttt_random_weapon	1854.096069 1118.504150 139.880600	7.434 -5.047 -60.247	auto_ammo 2
ttt_random_weapon	1881.257324 1613.431641 139.881836	7.371 -5.046 -60.241	auto_ammo 2
ttt_random_weapon	1196.789185 1269.279663 140.282867	10.344 -6.604 -69.476	auto_ammo 2
ttt_random_weapon	992.040955 1266.088745 139.880417	7.442 -5.047 -60.248	auto_ammo 2
ttt_random_weapon	189.452957 1275.581421 139.882309	7.346 -5.045 -60.238	auto_ammo 2
ttt_random_weapon	164.615112 1384.013916 175.128677	9.176 -11.963 -98.125	auto_ammo 2
ttt_random_weapon	392.727631 1736.665161 139.879913	7.468 -5.049 -60.251	auto_ammo 2
ttt_random_weapon	186.526810 1751.444580 139.882278	7.348 -5.045 -60.238	auto_ammo 2
ttt_random_weapon	495.444611 1811.457520 139.880768	7.425 -5.047 -60.246	auto_ammo 2
ttt_random_weapon	537.649048 1831.452515 139.881012	7.412 -5.047 -60.245	auto_ammo 2
ttt_random_weapon	-2475.076904 -237.743668 17.984556	7.399 -11.315 -99.371	auto_ammo 2
ttt_random_weapon	-2449.888184 -404.493713 18.335009	9.470 -10.538 -94.525	auto_ammo 2
ttt_random_weapon	-2369.167969 -525.082031 11.747943	-1.029 -26.340 117.865	auto_ammo 2
ttt_random_weapon	-3003.910645 -42.835022 12.219334	11.424 -12.782 -96.675	auto_ammo 2
ttt_random_weapon	-2900.790771 24.845436 10.426009	11.800 -11.882 -97.299	auto_ammo 2
ttt_random_weapon	-2808.326172 -60.885765 4.308021	10.420 -4.309 -68.916	auto_ammo 2
ttt_random_weapon	-2948.713867 -133.713135 6.960805	10.955 -13.052 -97.043	auto_ammo 2
ttt_random_weapon	-3168.930420 526.007385 13.603296	-0.254 -3.249 -61.076	auto_ammo 2
ttt_random_weapon	-3082.987305 528.110657 25.935801	-2.923 -10.543 -58.188	auto_ammo 2
ttt_random_weapon	-2983.564941 588.591980 30.408291	12.070 -12.522 -97.591	auto_ammo 2
ttt_random_weapon	-1754.602661 -545.171448 14.236012	8.507 -21.867 -155.503	auto_ammo 2
ttt_random_weapon	-1600.493652 -593.304199 9.342060	11.038 -5.186 -62.589	auto_ammo 2
ttt_random_weapon	-1635.601685 -1036.582153 5.129918	9.115 -11.505 -98.044	auto_ammo 2
ttt_random_weapon	-1507.371216 -883.146973 5.141769	9.121 -9.422 -98.120	auto_ammo 2
ttt_random_weapon	-268.900146 1523.264648 5.127800	9.192 -11.371 -98.077	auto_ammo 2
ttt_random_weapon	-290.506989 1676.031616 5.133014	9.089 -10.403 -98.328	auto_ammo 2
ttt_random_weapon	-879.077026 10.262040 5.126114	9.213 -10.285 -97.953	auto_ammo 2
ttt_random_weapon	-722.791565 63.853161 6.141104	10.023 -4.756 -68.657	auto_ammo 2
ttt_random_weapon	-836.283875 -52.292290 4.279710	10.327 -6.987 -69.449	auto_ammo 2
ttt_random_weapon	-911.772156 87.977997 5.120319	9.301 -10.239 -97.598	auto_ammo 2
ttt_random_weapon	239.879944 2567.322021 17.154530	13.646 -11.288 -98.195	auto_ammo 2
ttt_random_weapon	119.150185 2863.661621 17.609695	6.110 -21.259 -154.124	auto_ammo 2
ttt_random_weapon	122.672600 2700.744629 24.201830	11.575 -15.262 -99.135	auto_ammo 2
ttt_random_weapon	800.398682 2736.791504 5.131522	9.099 -11.408 -98.182	auto_ammo 2
ttt_random_weapon	945.546753 2663.212646 5.132882	9.078 -11.140 -98.269	auto_ammo 2
ttt_random_weapon	1237.873535 2480.769287 31.371881	-0.606 -5.849 -56.911	auto_ammo 2
ttt_random_weapon	1114.641357 2637.335693 13.580068	2.136 -7.009 -61.965	auto_ammo 2
ttt_random_weapon	1956.736206 3173.667480 5.134190	9.145 -10.455 -98.119	auto_ammo 2
ttt_random_weapon	2055.200684 3190.101074 5.147666	9.048 -11.389 -98.131	auto_ammo 2
ttt_random_weapon	2042.845459 3313.167969 5.147182	9.047 -11.167 -97.828	auto_ammo 2
ttt_random_weapon	1920.069336 3271.941895 4.316440	10.517 -5.690 -69.970	auto_ammo 2
ttt_random_weapon	3123.663330 1378.629395 6.850800	7.119 -10.276 -98.153	auto_ammo 2
ttt_random_weapon	3072.354980 1283.163574 5.570963	8.685 -10.624 -98.070	auto_ammo 2
ttt_random_weapon	2917.180908 1313.959595 5.402078	9.612 -10.866 -98.212	auto_ammo 2
ttt_random_weapon	2985.984619 1406.174927 5.210892	8.813 -10.976 -97.838	auto_ammo 2
ttt_random_weapon	2637.750244 497.804413 5.839464	8.076 -11.309 -98.469	auto_ammo 2
ttt_random_weapon	2521.672607 418.093567 5.143165	9.128 -11.900 -98.258	auto_ammo 2
ttt_random_weapon	2640.124756 334.131073 5.862400	10.792 -10.940 -68.775	auto_ammo 2
ttt_random_weapon	2543.087402 331.842682 10.102112	0.271 -24.237 118.769	auto_ammo 2
ttt_random_weapon	605.126465 -1271.512939 5.986031	8.289 -8.942 -98.217	auto_ammo 2
ttt_random_weapon	499.404297 -1327.262939 5.598536	8.854 -10.436 -99.143	auto_ammo 2
ttt_random_weapon	477.377838 -1260.489380 5.753563	9.326 -176.924 -99.164	auto_ammo 2
ttt_random_weapon	564.947571 -1192.771973 7.560201	13.201 -8.885 -82.888	auto_ammo 2
ttt_random_weapon	1223.707764 1486.553467 51.960297	9.208 -10.855 -97.715	auto_ammo 2
ttt_random_weapon	936.161194 1411.026489 51.963631	9.174 -12.162 -97.980	auto_ammo 2
ttt_random_weapon	925.427063 1493.766113 51.966820	9.101 -12.130 -98.094	auto_ammo 2
ttt_random_weapon	934.184509 1206.020996 36.367699	8.884 -11.771 -98.678	auto_ammo 2
ttt_random_weapon	1006.935913 1211.686890 36.256466	8.835 -9.637 -99.835	auto_ammo 2
ttt_random_weapon	347.642303 1453.171997 5.131204	9.107 -11.463 -98.173	auto_ammo 2
ttt_random_weapon	240.268723 1413.152466 3.834041	7.244 -7.056 -59.368	auto_ammo 2
ttt_random_weapon	346.963318 1408.394653 5.129965	9.102 -10.706 -98.001	auto_ammo 2
ttt_random_weapon	327.664001 1364.599365 5.130231	9.103 -10.712 -98.035	auto_ammo 2
ttt_random_weapon	869.466003 1479.936157 36.380482	0.281 -17.052 -96.508	auto_ammo 2
ttt_random_weapon	869.779053 1429.112061 36.400272	-0.880 -22.001 -96.201	auto_ammo 2
ttt_random_weapon	814.215881 1213.654175 11.157918	12.325 -9.160 -66.039	auto_ammo 2
ttt_random_weapon	1380.832764 1627.233521 5.273275	6.970 -10.228 -97.460	auto_ammo 2
ttt_random_weapon	1285.862427 1614.979126 5.131150	9.080 -10.685 -98.061	auto_ammo 2
ttt_random_weapon	816.706848 1547.636963 139.882965	7.313 -5.045 -60.235	auto_ammo 2
ttt_random_weapon	506.461029 1555.986938 139.882202	7.351 -5.045 -60.239	auto_ammo 2
ttt_random_weapon	1362.337158 597.680786 4.945359	0.232 -22.656 125.589	auto_ammo 2
ttt_random_weapon	1499.285034 524.765320 5.125277	9.133 -10.241 -97.568	auto_ammo 2
ttt_random_weapon	1492.626343 425.428833 5.129614	9.116 -11.417 -98.010	auto_ammo 2
ttt_random_weapon	1519.886841 480.868805 5.133473	9.095 -11.444 -98.414	auto_ammo 2
ttt_random_weapon	1469.024780 622.168823 5.128964	9.117 -11.398 -97.938	auto_ammo 2
ttt_random_weapon	1314.009399 556.710632 5.132950	9.134 -11.485 -98.501	auto_ammo 2
ttt_random_weapon	1159.817871 -67.324364 21.135742	9.117 -10.761 -98.810	auto_ammo 2
ttt_random_weapon	1169.612061 -168.712830 21.133564	9.089 -10.702 -98.400	auto_ammo 2
ttt_random_weapon	872.106628 84.570160 -740.119446	7.428 -5.045 -60.247	auto_ammo 2
ttt_random_weapon	1097.898071 85.890381 -740.119507	7.433 -5.046 -60.249	auto_ammo 2
ttt_random_weapon	1120.347046 584.938782 -740.120422	7.501 -5.053 -60.261	auto_ammo 2
ttt_random_weapon	840.646423 1345.383057 -740.118835	7.402 -5.045 -60.244	auto_ammo 2
ttt_random_weapon	996.444458 1338.513428 -740.118469	7.389 -5.045 -60.243	auto_ammo 2
ttt_random_weapon	1090.401733 766.872131 -739.716736	10.358 -6.628 -69.543	auto_ammo 2
ttt_random_weapon	1041.087280 659.391724 -740.118103	7.353 -5.044 -60.239	auto_ammo 2
ttt_random_weapon	1027.881348 749.810547 -740.119690	7.441 -5.045 -60.249	auto_ammo 2
ttt_random_weapon	949.525085 -853.790588 -740.119080	7.410 -5.045 -60.246	auto_ammo 2
ttt_random_weapon	904.528198 -811.341492 -740.117371	7.332 -5.044 -60.237	auto_ammo 2
ttt_random_weapon	861.935974 -779.497559 -740.119263	7.415 -5.045 -60.246	auto_ammo 2
ttt_random_weapon	596.914062 -249.164825 -738.866821	9.089 -11.922 -98.367	auto_ammo 2
ttt_random_weapon	366.368896 -250.319611 -740.117432	7.316 -5.044 -60.235	auto_ammo 2
ttt_random_weapon	-209.167007 -382.592712 -701.423584	12.407 -7.848 -68.945	auto_ammo 2
ttt_random_weapon	-141.724777 -407.995514 -703.330750	10.604 24.230 -97.421	auto_ammo 2
ttt_random_weapon	-226.216583 -388.611145 -700.031799	11.360 -19.840 -98.365	auto_ammo 2
ttt_random_weapon	-151.738739 -423.527710 -703.891174	-16.144 -30.003 -41.018	auto_ammo 2
ttt_random_weapon	71.505341 1152.498047 -548.119690	7.446 -5.048 -60.249	auto_ammo 2
ttt_random_weapon	-227.536972 1151.651733 -548.117920	7.355 -5.046 -60.239	auto_ammo 2
ttt_random_weapon	-286.753357 -152.869736 -548.118408	7.379 -5.045 -60.242	auto_ammo 2
ttt_random_weapon	112.967743 1958.418579 -380.120453	7.520 -5.061 -60.267	auto_ammo 2
ttt_random_weapon	303.994507 2638.676514 -380.118164	7.367 -5.045 -60.240	auto_ammo 2
ttt_random_weapon	308.541595 2599.555176 -380.118774	7.399 -5.045 -60.244	auto_ammo 2
ttt_random_weapon	1264.306763 444.770996 16.490582	5.362 -12.671 -86.885	auto_ammo 2
ttt_random_weapon	1200.115845 399.956482 13.488063	-1.810 5.795 -104.881	auto_ammo 2
ttt_random_weapon	1547.627197 -102.096130 -172.119293	7.428 -5.046 -60.247	auto_ammo 2
ttt_random_weapon	1355.860107 -221.456238 -740.117798	7.343 -5.044 -60.238	auto_ammo 2
ttt_random_weapon	1359.526367 -167.883270 -700.061279	7.416 -2.335 -59.913	auto_ammo 2
ttt_random_weapon	723.812012 -154.680313 -700.026184	7.504 -6.272 -60.880	auto_ammo 2
ttt_random_weapon	-1627.605347 -951.746399 7.246869	8.391 -9.917 -27.856	auto_ammo 2
ttt_random_weapon	729.942078 1954.859497 13.474964	2.100 3.018 -32.325	auto_ammo 2
ttt_random_weapon	889.454712 1955.475952 5.902710	10.788 -11.623 -98.940	auto_ammo 2
ttt_random_weapon	1040.803467 1939.890747 5.118858	9.314 -11.256 -97.479	auto_ammo 2
ttt_random_weapon	-1436.709717 2032.550293 20.885460	9.536 -4.032 -51.902	auto_ammo 2
ttt_random_weapon	-1412.724731 2147.850830 14.591348	7.332 -14.276 -103.699	auto_ammo 2
ttt_random_weapon	-830.748169 1971.462158 5.815938	9.064 -33.070 -97.333	auto_ammo 2
ttt_random_weapon	-881.335938 1979.221558 7.819922	12.115 -9.494 -95.399	auto_ammo 2
ttt_random_weapon	-781.551514 1891.327026 5.127621	9.136 -10.384 -98.056	auto_ammo 2
weapon_zm_molotov	-485.135895 -367.690033 8.213664	-2.579 -1.238 -1.411
weapon_zm_molotov	-539.561401 -202.776443 8.214717	-2.540 -1.297 -1.390
weapon_zm_molotov	-2450.432129 -484.163818 9.396502	-1.458 1.277 2.771
weapon_zm_molotov	-2177.451416 1037.763550 2.774132	7.669 -51.434 -92.572
weapon_zm_molotov	-1381.628418 2075.194824 17.133501	-71.567 -57.347 -90.906
weapon_zm_molotov	49.305222 2773.896729 19.855499	8.359 -54.977 -91.906
weapon_zm_molotov	878.714233 182.569061 0.180008	-1.824 -1.448 -0.998
weapon_zm_molotov	150.845078 163.017715 32.171070	-2.152 -1.401 -1.178
weapon_zm_molotov	-2221.366455 224.763641 0.172797	-2.088 -1.401 -1.143
weapon_zm_molotov	946.652710 1942.995605 0.160517	-2.540 -1.297 -1.390
item_ammo_357_ttt	-30.337654 -315.799683 365.951050	0.455 0.064 0.047
item_ammo_357_ttt	5.047576 -317.099792 365.920471	0.449 0.074 0.059
item_ammo_357_ttt	1910.665527 -333.173004 365.906128	0.447 0.079 0.065
item_ammo_357_ttt	1936.973511 -319.035339 365.951050	0.455 0.065 0.047
ttt_random_ammo	-237.962906 -426.427704 4.000522	-9.911 -0.239 -0.099
ttt_random_ammo	-205.805756 -420.903381 9.320826	-7.648 -1.221 -4.553
ttt_random_ammo	-232.119659 -460.567688 5.184027	-10.305 -0.234 -0.054
ttt_random_ammo	-278.448730 -440.090668 0.380878	0.199 0.001 0.182
ttt_random_ammo	-430.204071 -11.725386 0.386601	0.320 0.002 0.332
ttt_random_ammo	-435.984894 7.437525 0.398600	1.686 0.028 2.003
ttt_random_ammo	-412.937500 42.315472 0.391754	0.675 0.006 0.766
ttt_random_ammo	-374.389587 32.584000 0.327766	0.047 0.000 -0.031
ttt_random_ammo	-397.183533 4.506500 0.311914	0.049 0.000 -0.037
ttt_random_ammo	688.759216 1022.603149 0.395031	-0.140 0.053 0.381
ttt_random_ammo	716.209778 1035.353882 0.376603	-0.292 0.259 -0.022
ttt_random_ammo	727.211060 1065.061890 0.398911	-0.315 -0.185 0.143
ttt_random_ammo	643.134583 1059.605957 0.350964	0.733 0.070 0.911
ttt_random_ammo	1674.236450 1007.006287 2.963131	7.682 1.351 -4.294
ttt_random_ammo	1675.126709 955.786743 6.054018	6.247 2.975 5.177
ttt_random_ammo	1737.226685 934.629089 1.313544	-6.748 -0.290 0.045
ttt_random_ammo	988.967712 -174.402786 16.369123	0.084 -0.000 -0.039
ttt_random_ammo	967.666016 -110.228661 16.357498	0.053 -0.000 0.004
ttt_random_ammo	1192.689941 321.445648 16.376139	0.133 0.000 0.102
ttt_random_ammo	1224.257446 328.689728 16.346783	0.046 0.000 -0.018
ttt_random_ammo	958.098267 315.128052 16.384222	0.201 0.001 0.189
ttt_random_ammo	995.499878 321.212280 16.379574	0.144 0.001 0.116
ttt_random_ammo	1145.809082 -697.530457 -743.659546	0.082 0.000 -0.005
ttt_random_ammo	1144.523315 -725.408325 -743.600952	1.351 0.029 1.580
ttt_random_ammo	808.252441 420.989044 -743.616882	1.615 0.030 1.890
ttt_random_ammo	808.748474 458.812805 -743.659546	0.077 0.000 -0.011
ttt_random_ammo	1141.021240 1358.748779 -743.612061	1.578 0.024 1.849
ttt_random_ammo	1077.522705 1345.269043 -743.578735	1.080 0.025 1.264
ttt_random_ammo	913.200623 1351.409424 -743.661804	0.073 0.000 -0.018
ttt_random_ammo	995.223755 1477.166382 136.340027	0.046 0.000 -0.025
ttt_random_ammo	954.253357 1555.877930 136.342331	0.046 0.000 -0.024
ttt_random_ammo	976.106689 1516.607544 136.363571	0.064 0.000 0.009
ttt_random_ammo	1486.028687 1578.346802 72.349121	0.030 0.000 -0.037
ttt_random_ammo	1482.202759 1843.274048 72.403976	-0.396 0.001 -0.528
ttt_random_ammo	1044.698242 1831.173706 0.378284	0.082 0.000 0.041
ttt_random_ammo	556.380798 1820.771851 0.399274	1.191 0.017 1.399
ttt_random_ammo	608.565857 1806.775024 0.452762	0.835 0.024 0.999
ttt_random_ammo	664.380981 1810.343140 0.372974	0.071 0.000 0.025
ttt_random_ammo	325.603149 1578.831909 0.320047	0.045 0.000 -0.034
ttt_random_ammo	223.300980 1500.007324 47.265484	1.475 -0.035 -1.791
ttt_random_ammo	301.077393 1458.263306 47.299404	-1.204 0.032 -1.449
ttt_random_ammo	286.600555 1541.474976 47.247181	1.717 -0.030 -2.064
ttt_random_ammo	348.864929 1521.798340 47.186996	-0.072 -0.147 0.113
ttt_random_ammo	318.856842 508.428314 6.589448	-3.130 -0.423 -1.459
ttt_random_ammo	243.210922 541.278503 3.722695	-1.325 -0.124 -0.044
ttt_random_ammo	162.422943 489.937256 1.996647	-0.667 -0.333 1.735
ttt_random_ammo	192.424194 501.110687 2.705604	-0.850 -0.427 1.382
ttt_random_ammo	162.050781 357.974487 32.320866	-0.047 -0.000 -0.034
ttt_random_ammo	209.686874 402.804840 32.366711	-0.085 -0.000 0.036
ttt_random_ammo	488.518097 99.473000 32.367218	0.092 -0.000 -0.045
ttt_random_ammo	411.770752 235.690430 32.387291	0.403 -0.002 -0.433
ttt_random_ammo	471.446075 232.078125 32.369068	0.099 -0.000 -0.054
ttt_random_ammo	417.793518 98.946533 32.337654	0.048 -0.000 0.024
ttt_random_ammo	364.903015 97.121048 32.379230	0.198 0.001 0.180
ttt_random_ammo	-1159.229858 2203.086182 -9.409511	-1.308 1.468 -6.121
ttt_random_ammo	-1097.988281 2203.076660 -7.184658	-1.827 1.239 -6.327
ttt_random_ammo	-1033.410767 2196.678711 4.271398	-3.253 2.499 -100.558
ttt_random_ammo	-2281.939697 2340.873535 66.671776	-0.069 0.000 -0.138
ttt_random_ammo	-2232.700684 2334.235596 42.750687	0.020 0.000 -0.042
ttt_random_ammo	-2263.116943 2432.916748 66.631683	-0.048 -0.000 -0.016
ttt_random_ammo	1380.916016 1257.320312 0.348532	1.070 0.017 -0.645
ttt_random_ammo	1390.257568 1388.173096 7.873755	-2.221 -0.758 3.331
ttt_random_ammo	1441.303833 1464.540527 18.989697	-1.404 -1.289 8.179
ttt_random_ammo	1557.919189 1446.889038 13.792283	6.222 2.849 7.008
ttt_random_ammo	1624.918823 1549.686035 5.468338	8.802 -1.115 -7.247
ttt_random_ammo	1598.750000 1701.447021 -0.931821	9.432 -5.899 3.213
ttt_random_ammo	1140.028931 1302.504517 136.359558	0.063 0.000 0.006
ttt_random_ammo	1085.688477 1313.269775 136.337662	0.047 0.000 -0.025
ttt_random_ammo	706.879944 1760.338501 136.445953	1.054 0.027 1.277
ttt_random_ammo	874.755432 1757.550171 136.332825	0.046 0.000 -0.028
ttt_random_ammo	1032.110229 1750.518921 136.339996	0.047 0.000 -0.023
ttt_random_ammo	1361.134033 1775.691284 0.349129	0.029 0.000 -0.039
ttt_random_ammo	1438.660767 1806.361572 2.020222	-3.640 0.235 0.219
ttt_random_ammo	1453.308472 1733.902466 12.351167	-11.674 -6.301 -2.028
ttt_random_ammo	1377.015137 1696.588013 0.363879	0.012 0.000 -0.052
ttt_random_ammo	1446.000977 1652.500244 5.121814	-6.076 0.998 1.431
ttt_random_ammo	-2188.396729 1015.812012 4.276718	3.701 -2.577 -8.115
ttt_random_ammo	-2126.791748 1083.567627 -1.806561	0.746 -0.394 -4.516
ttt_random_ammo	-2130.508545 1013.470215 0.243612	3.181 0.281 -0.250
ttt_random_ammo	85.379272 2834.435059 13.773984	1.747 -1.832 -6.937
ttt_random_ammo	81.656105 2666.407715 21.564831	2.580 0.174 -0.562
ttt_random_ammo	120.268593 2542.885742 19.415869	1.852 0.803 3.364
ttt_random_ammo	868.736511 2719.954346 0.346035	-0.022 -0.207 -0.158
ttt_random_ammo	1070.039673 2657.906494 5.608453	-5.249 -1.135 -3.145
ttt_random_ammo	1264.372681 2561.749756 30.344589	-9.511 -1.074 -3.661
ttt_random_ammo	53.792175 1316.312256 0.342240	0.047 0.000 -0.024
ttt_random_ammo	56.966606 1441.498169 11.820948	2.304 -1.326 97.901
ttt_random_ammo	72.618217 1596.335083 8.202698	-1.507 0.017 -3.190
weapon_zm_rifle	9.784011 -338.109833 364.664124	3.763 12.655 64.853
weapon_zm_rifle	1963.111206 -259.793762 364.658447	3.776 12.651 64.826
weapon_ttt_glock	-753.946655 -11.921254 1.109533	-0.611 25.621 91.173
weapon_ttt_glock	1324.131348 524.559509 1.112972	-0.816 25.584 91.599
weapon_ttt_glock	-2884.834717 777.204895 30.878428	-2.557 23.949 86.095
weapon_ttt_glock	-2463.407227 -486.187683 10.417744	0.933 29.839 91.447
weapon_ttt_glock	-175.656113 561.919800 1.114020	-0.876 25.564 91.724
weapon_ttt_glock	895.374268 -106.711998 2.381118	0.300 32.374 95.703
ttt_playerspawn	-3505.857910 -245.180283 13.674957	-4.663 -0.890 -2.770
ttt_playerspawn	-3593.197266 -122.883949 5.587769	-0.674 -0.030 -0.929
ttt_playerspawn	-3634.256592 -53.865318 5.753641	4.556 3.205 -0.639
ttt_playerspawn	-3541.978516 -189.586060 9.147840	-3.348 -1.671 -1.282
ttt_playerspawn	-1091.484863 -68.734863 0.733402	0.042 0.006 -0.560
ttt_playerspawn	-1090.787109 16.526878 0.566000	-0.036 0.064 -0.111
ttt_playerspawn	-1093.100952 112.237999 0.558160	-0.105 -0.299 0.118
ttt_playerspawn	-1044.542480 219.246063 0.554365	0.148 0.059 0.032
ttt_playerspawn	-1727.057983 1748.707520 -4.284159	1.098 0.160 0.924
ttt_playerspawn	-1735.041504 1669.756226 -6.916807	-1.892 0.579 -1.850
ttt_playerspawn	-1750.026367 1569.832031 -3.194983	-1.158 0.157 -2.067
ttt_playerspawn	-1765.725098 1463.683716 -0.919840	-1.255 -0.062 -0.598
ttt_playerspawn	-104.501045 2632.166748 21.251719	-2.252 -0.237 -0.755
ttt_playerspawn	-93.555969 2799.931641 14.242354	-1.519 2.772 -4.881
ttt_playerspawn	-88.264923 2713.949219 19.754152	-1.975 0.356 -2.286
ttt_playerspawn	-93.409958 2521.964355 19.837036	-1.931 -0.033 1.931
ttt_playerspawn	-1390.482666 643.455627 0.579613	-0.035 0.555 -0.070
ttt_playerspawn	-1396.792114 723.520630 0.548712	-0.113 0.015 -0.236
ttt_playerspawn	-1401.018799 801.815308 0.576217	0.015 0.084 -0.073
ttt_playerspawn	-1401.217651 927.476807 0.531676	0.046 0.009 -0.234
ttt_playerspawn	475.711334 1937.553833 0.531948	-0.217 -0.084 -0.034
ttt_playerspawn	300.114532 1937.906372 3.304165	7.910 -0.263 -0.075
ttt_playerspawn	3.739842 -42.347675 1.367122	6.369 0.587 0.033
